PATTERN_ID,SUB_PATTER,PRIORITY,SPECIAL,LAYER,BITMAPTYPE,OFFSET_X,OFFSET_Y,FILENAME,BITMAPPTR
53,0,3, ,1,T,0,0,HB-053  ,154240
54,0,7, ,1,T,0,0,HA-054  ,126110
54,0,3, ,1,T,0,0,HB-054  ,155159
55,0,7, ,1,T,0,0,HA-055  ,126968
55,0,3, ,1,T,0,0,HB-055  ,156078
56,0,7, ,1,T,0,0,HA-056  ,127826
56,0,3, ,1,T,0,0,HB-056  ,156997
57,0,7, ,1,T,0,0,HA-057  ,128684
57,0,3, ,1,T,0,0,HB-057  ,157916
58,0,7, ,1,T,0,0,HA-058  ,129542
58,0,3, ,1,T,0,0,HB-058  ,158835
59,0,7, ,1,T,0,0,HA-059  ,130400
59,0,3, ,1,T,0,0,HB-059  ,159754
60,0,7, ,1,T,0,0,HA-060  ,131258
60,0,3, ,1,T,0,0,HB-060  ,160673
61,0,7, ,1,T,0,0,HA-061  ,132116
61,0,3, ,1,T,0,0,HB-061  ,161592
62,0,7, ,1,T,0,0,HA-062  ,132974
62,0,3, ,1,T,0,0,HB-062  ,162511
63,0,7, ,1,T,0,0,HA-063  ,133832
63,0,3, ,1,T,0,0,HB-063  ,163430
64,0,7, ,1,T,0,0,HA-064  ,134690
64,0,3, ,1,T,0,0,HB-064  ,164349
65,0,7, ,1,T,0,0,HA-065  ,135548
65,0,3, ,1,T,0,0,HB-065  ,165268
66,0,7, ,1,T,0,0,HA-066  ,136406
66,0,3, ,1,T,0,0,HB-066  ,166187
67,0,7, ,1,T,0,0,HA-067  ,137264
67,0,3, ,1,T,0,0,HB-067  ,167106
68,0,7, ,1,T,0,0,HA-068  ,138122
68,0,3, ,1,T,0,0,HB-068  ,168025
69,0,7, ,1,T,0,0,HA-069  ,138980
69,0,3, ,1,T,0,0,HB-069  ,168944
70,0,7, ,1,T,0,0,HA-070  ,139838
70,0,3, ,1,T,0,0,HB-070  ,169863
