ROCKID,X_LOC,Y_LOC,ROCK_RECNO,FIRST_BMP
DD2  ,2,2,49,188
DD3  ,0,0,50,189
DD3  ,1,0,50,190
DD3  ,2,0,50,191
DD3  ,3,0,50,192
DD3  ,0,1,50,193
DD3  ,1,1,50,194
DD3  ,2,1,50,195
DD3  ,3,1,50,196
DD4  ,0,0,51,197
DD4  ,1,0,51,198
DD4  ,2,0,51,199
DD4  ,3,0,51,200
DD4  ,1,1,51,201
DD4  ,2,1,51,202
DD4  ,3,1,51,203
DD4  ,0,2,51,204
DD4  ,1,2,51,205
DD4  ,2,2,51,206
DD4  ,3,2,51,207
DQ1  ,0,0,52,208
DQ1  ,1,0,52,209
DQ1  ,0,1,52,210
DQ1  ,1,1,52,211
DQ2  ,0,0,53,212
DQ2  ,1,0,53,213
DQ2  ,0,1,53,214
DQ2  ,1,1,53,215
DQ3  ,0,0,54,216
DQ3  ,1,0,54,217
DQ3  ,0,1,54,218
DQ3  ,1,1,54,219
DQ4  ,0,0,55,220
DQ4  ,1,0,55,221
DQ4  ,0,1,55,222
DQ4  ,1,1,55,223
DQ5  ,0,0,56,224
DQ5  ,1,0,56,225
DQ5  ,0,1,56,226
DQ5  ,1,1,56,227
DQ6  ,0,0,57,228
DQ6  ,1,0,57,229
DQ6  ,0,1,57,230
DQ6  ,1,1,57,231
DQ7  ,0,0,58,232
DQ7  ,1,0,58,233
DQ7  ,0,1,58,234
DQ7  ,1,1,58,235
DQ8  ,0,0,59,236
DQ8  ,1,0,59,237
DQ8  ,0,1,59,238
DQ8  ,1,1,59,239
DQ9  ,0,0,60,240
DQ9  ,1,0,60,241
DQ9  ,0,1,60,242
DQ9  ,1,1,60,243
DQA  ,0,0,61,244
DQA  ,1,0,61,245
DQA  ,0,1,61,246
DQA  ,1,1,61,247
DQB  ,0,0,62,248
DQB  ,1,0,62,249
DQB  ,0,1,62,250
DQB  ,1,1,62,251
DQC  ,0,0,63,252
DQC  ,1,0,63,253
DQC  ,0,1,63,254
DQC  ,1,1,63,255
DQD  ,0,0,64,256
DQD  ,1,0,64,257
DQD  ,0,1,64,258
DQD  ,1,1,64,259
DQE  ,0,0,65,260
DQE  ,1,0,65,261
DQE  ,0,1,65,262
DQE  ,1,1,65,263
DQF  ,0,0,66,264
DQF  ,1,0,66,265
DQF  ,0,1,66,266
DQF  ,1,1,66,267
DQG  ,0,0,67,268
DQG  ,1,0,67,269
DQG  ,0,1,67,270
DQG  ,1,1,67,271
DQH  ,0,0,68,272
DQH  ,1,0,68,273
DQH  ,0,1,68,274
DQH  ,1,1,68,275
DQI  ,0,0,69,276
DQI  ,1,0,69,277
DQI  ,0,1,69,278
DQI  ,1,1,69,279
DQJ  ,0,0,70,280
DQJ  ,1,0,70,281
DQJ  ,0,1,70,282
DQJ  ,1,1,70,283
RB1  ,0,0,71,284
RB1  ,1,0,71,285
RB1  ,0,1,71,286
RB1  ,1,1,71,287
RC1  ,0,0,72,288
RC1  ,1,0,72,289
RC1  ,2,0,72,290
RC1  ,0,1,72,291
RC1  ,1,1,72,292
RC1  ,2,1,72,293
RC1  ,0,2,72,294
RC1  ,1,2,72,295
RC1  ,2,2,72,296
RE1  ,0,0,73,297
RE1  ,1,0,73,298
RE1  ,2,0,73,299
RE1  ,3,0,73,300
RE1  ,4,0,73,301
RE1  ,0,1,73,302
RE1  ,1,1,73,303
RE1  ,2,1,73,304
RE1  ,3,1,73,305
RE1  ,4,1,73,306
RE1  ,0,2,73,307
RE1  ,1,2,73,308
RE1  ,2,2,73,309
RE1  ,3,2,73,310
RE1  ,4,2,73,311
RE1  ,0,3,73,312
RE1  ,1,3,73,313
RE1  ,2,3,73,314
RE1  ,3,3,73,315
RE1  ,4,3,73,316
RE1  ,0,4,73,317
RE1  ,1,4,73,318
RE1  ,2,4,73,319
RE1  ,3,4,73,320
RE1  ,4,4,73,321
RE2  ,0,0,74,322
RE2  ,1,0,74,323
RE2  ,2,0,74,324
RE2  ,0,1,74,325
RE2  ,1,1,74,326
RE2  ,2,1,74,327
RE2  ,0,2,74,328
RE2  ,1,2,74,329
RE2  ,2,2,74,330
RE2  ,3,2,74,331
RE2  ,0,3,74,332
RE2  ,1,3,74,333
RE2  ,2,3,74,334
RE2  ,3,3,74,335
RE2  ,0,4,74,336
RE2  ,1,4,74,337
RE2  ,2,4,74,338
RE2  ,3,4,74,339
RF1  ,1,0,75,340
RF1  ,2,0,75,341
RF1  ,3,0,75,342
RF1  ,0,1,75,343
RF1  ,1,1,75,344
RF1  ,2,1,75,345
RF1  ,3,1,75,346
RF1  ,4,1,75,347
RF1  ,5,1,75,348
RF1  ,0,2,75,349
RF1  ,1,2,75,350
RF1  ,2,2,75,351
RF1  ,3,2,75,352
RF1  ,4,2,75,353
RF1  ,5,2,75,354
RF1  ,0,3,75,355
RF1  ,1,3,75,356
RF1  ,2,3,75,357
RF1  ,3,3,75,358
RF1  ,4,3,75,359
RF1  ,5,3,75,360
RF1  ,0,4,75,361
RF1  ,1,4,75,362
RF1  ,2,4,75,363
RF1  ,3,4,75,364
RF1  ,4,4,75,365
RF1  ,5,4,75,366
