FIRM,RACE,FRAME,DELAY,FIRSTBMP,BMPCOUNT
HARBOR  ,W       ,6,4,126,1
MONSTER ,SKELETON,1,2,127,1
MONSTER ,SKELETON,2,2,128,1
MONSTER ,SKELETON,3,2,129,1
MONSTER ,SKELETON,4,2,130,1
MONSTER ,SKELETON,5,2,131,1
MONSTER ,SKELETON,6,4,132,1
MONSTER ,LYW     ,1,2,133,1
MONSTER ,LYW     ,2,2,134,1
MONSTER ,LYW     ,3,2,135,1
MONSTER ,LYW     ,4,2,136,1
MONSTER ,LYW     ,5,2,137,1
MONSTER ,LYW     ,6,4,138,1
MONSTER ,HOBGLOB ,1,2,139,1
MONSTER ,HOBGLOB ,2,2,140,1
MONSTER ,HOBGLOB ,3,2,141,1
MONSTER ,HOBGLOB ,4,2,142,1
MONSTER ,HOBGLOB ,5,2,143,1
MONSTER ,HOBGLOB ,6,4,144,1
MONSTER ,GIANTET ,1,2,145,1
MONSTER ,GIANTET ,2,2,146,1
MONSTER ,GIANTET ,3,2,147,1
MONSTER ,GIANTET ,4,2,148,1
MONSTER ,GIANTET ,5,2,149,1
MONSTER ,GIANTET ,6,4,150,1
MONSTER ,GITH    ,1,2,151,1
MONSTER ,GITH    ,2,2,152,1
MONSTER ,GITH    ,3,2,153,1
MONSTER ,GITH    ,4,2,154,1
MONSTER ,GITH    ,5,2,155,1
MONSTER ,GITH    ,6,4,156,1
MONSTER ,ROCKMAN ,1,2,157,1
MONSTER ,ROCKMAN ,2,2,158,1
MONSTER ,ROCKMAN ,3,2,159,1
MONSTER ,ROCKMAN ,4,2,160,1
MONSTER ,ROCKMAN ,5,2,161,1
MONSTER ,ROCKMAN ,6,4,162,1
MONSTER ,GREMJERM,1,2,163,1
MONSTER ,GREMJERM,2,2,164,1
MONSTER ,GREMJERM,3,2,165,1
MONSTER ,GREMJERM,4,2,166,1
MONSTER ,GREMJERM,5,2,167,1
MONSTER ,GREMJERM,6,4,168,1
MONSTER ,FIREKIN ,1,2,169,1
MONSTER ,FIREKIN ,2,2,170,1
MONSTER ,FIREKIN ,3,2,171,1
MONSTER ,FIREKIN ,4,2,172,1
MONSTER ,FIREKIN ,5,2,173,1
MONSTER ,FIREKIN ,6,4,174,1
MONSTER ,GNOLL   ,1,2,175,1
MONSTER ,GNOLL   ,2,2,176,1
MONSTER ,GNOLL   ,3,2,177,1
MONSTER ,GNOLL   ,4,2,178,1
MONSTER ,GNOLL   ,5,2,179,1
MONSTER ,GNOLL   ,6,4,180,1
MONSTER ,GOBLIN  ,1,2,181,1
MONSTER ,GOBLIN  ,2,2,182,1
MONSTER ,GOBLIN  ,3,2,183,1
MONSTER ,GOBLIN  ,4,2,184,1
MONSTER ,GOBLIN  ,5,2,185,1
MONSTER ,GOBLIN  ,6,4,186,1
MONSTER ,LIZARD  ,1,2,187,1
MONSTER ,LIZARD  ,2,2,188,1
MONSTER ,LIZARD  ,3,2,189,1
MONSTER ,LIZARD  ,4,2,190,1
MONSTER ,LIZARD  ,5,2,191,1
MONSTER ,LIZARD  ,6,4,192,1
MONSTER ,MAN     ,1,2,193,1
MONSTER ,MAN     ,2,2,194,1
MONSTER ,MAN     ,3,2,195,1
MONSTER ,MAN     ,4,2,196,1
MONSTER ,MAN     ,5,2,197,1
MONSTER ,MAN     ,6,4,198,1
MONSTER ,HEADLESS,1,2,199,1
MONSTER ,HEADLESS,2,2,200,1
MONSTER ,HEADLESS,3,2,201,1
MONSTER ,HEADLESS,4,2,202,1
MONSTER ,HEADLESS,5,2,203,1
MONSTER ,HEADLESS,6,4,204,1
