SPRITE,ACTION,DIR,FRAME,OFFSET_X,OFFSET_Y,WIDTH,HEIGHT,FILENAME,BITMAPPTR
NORMAN  ,A1,E ,1 ,5,-26,32,56,NO-A3-1 ,42779
NORMAN  ,A1,E ,2 ,-10,-26,48,57,NO-A3-2 ,43950
NORMAN  ,A1,E ,3 ,8,-22,35,53,NO-A3-3 ,45115
NORMAN  ,A1,E ,4 ,6,-31,46,62,NO-A3-4 ,46286
NORMAN  ,A1,E ,5 ,4,-20,66,51,NO-A3-5 ,47770
NORMAN  ,A1,SE,1 ,2,-20,39,57,NO-A2-1 ,36387
NORMAN  ,A1,SE,2 ,-2,-33,42,73,NO-A2-2 ,37789
NORMAN  ,A1,SE,3 ,11,-23,27,63,NO-A2-3 ,39235
NORMAN  ,A1,SE,4 ,14,-14,38,53,NO-A2-4 ,40263
NORMAN  ,A1,SE,5 ,11,-17,44,69,NO-A2-5 ,41453
NORMAN  ,A1,S ,1 ,-4,-18,46,57,NO-A1-1 ,29447
NORMAN  ,A1,S ,2 ,-3,-37,47,80,NO-A1-2 ,30968
NORMAN  ,A1,S ,3 ,2,-21,41,63,NO-A1-3 ,32724
NORMAN  ,A1,S ,4 ,3,-8,42,48,NO-A1-4 ,34030
NORMAN  ,A1,S ,5 ,5,-5,41,69,NO-A1-5 ,35184
NORMAN  ,A1,SW,1 ,-8,-20,39,57,NO-A2-1 ,36387
NORMAN  ,A1,SW,2 ,-7,-33,42,73,NO-A2-2 ,37789
NORMAN  ,A1,SW,3 ,-5,-23,27,63,NO-A2-3 ,39235
NORMAN  ,A1,SW,4 ,-19,-14,38,53,NO-A2-4 ,40263
NORMAN  ,A1,SW,5 ,-22,-17,44,69,NO-A2-5 ,41453
NORMAN  ,A1,W ,1 ,-4,-26,32,56,NO-A3-1 ,42779
NORMAN  ,A1,W ,2 ,-5,-26,48,57,NO-A3-2 ,43950
NORMAN  ,A1,W ,3 ,-10,-22,35,53,NO-A3-3 ,45115
NORMAN  ,A1,W ,4 ,-19,-31,46,62,NO-A3-4 ,46286
NORMAN  ,A1,W ,5 ,-37,-20,66,51,NO-A3-5 ,47770
NORMAN  ,A1,NW,1 ,-11,-23,46,47,NO-A4-1 ,49360
NORMAN  ,A1,NW,2 ,-2,-23,40,46,NO-A4-2 ,50578
NORMAN  ,A1,NW,3 ,-9,-23,46,46,NO-A4-3 ,51777
NORMAN  ,A1,NW,4 ,-6,-44,47,67,NO-A4-4 ,53180
NORMAN  ,A1,NW,5 ,-22,-30,65,56,NO-A4-5 ,54785
NORMAN  ,A2,N ,1 ,-5,-20,40,48,NO-B5-1 ,90505
NORMAN  ,A2,N ,2 ,-6,-25,43,54,NO-B5-2 ,91772
NORMAN  ,A2,N ,3 ,-5,-38,41,66,NO-B5-3 ,93177
NORMAN  ,A2,N ,4 ,-5,-38,41,66,NO-B5-4 ,94684
NORMAN  ,A2,N ,5 ,-5,-40,42,69,NO-B5-5 ,96191
NORMAN  ,A2,N ,6 ,-6,-25,43,54,NO-B5-2 ,91772
NORMAN  ,A2,NE,1 ,-4,-21,42,49,NO-B4-1 ,82834
NORMAN  ,A2,NE,2 ,-6,-20,53,48,NO-B4-2 ,84134
NORMAN  ,A2,NE,3 ,-5,-27,57,55,NO-B4-3 ,85643
NORMAN  ,A2,NE,4 ,-5,-27,57,55,NO-B4-4 ,87281
NORMAN  ,A2,NE,5 ,-5,-27,56,55,NO-B4-5 ,88914
NORMAN  ,A2,NE,6 ,-6,-20,53,48,NO-B4-2 ,84134
NORMAN  ,A2,E ,1 ,-1,-22,33,52,NO-B3-1 ,76279
NORMAN  ,A2,E ,2 ,-1,-22,45,52,NO-B3-2 ,77401
NORMAN  ,A2,E ,3 ,-3,-22,56,52,NO-B3-3 ,78692
NORMAN  ,A2,E ,4 ,-1,-22,54,52,NO-B3-4 ,80099
NORMAN  ,A2,E ,5 ,-1,-21,52,51,NO-B3-5 ,81479
NORMAN  ,A2,E ,6 ,-1,-22,45,52,NO-B3-2 ,77401
NORMAN  ,A2,SE,1 ,2,-18,33,52,NO-B2-1 ,70439
NORMAN  ,A2,SE,2 ,5,-19,30,53,NO-B2-2 ,71571
NORMAN  ,A2,SE,3 ,5,-20,35,54,NO-B2-3 ,72720
NORMAN  ,A2,SE,4 ,5,-20,35,54,NO-B2-4 ,73916
NORMAN  ,A2,SE,5 ,5,-19,33,52,NO-B2-5 ,75112
NORMAN  ,A2,SE,6 ,5,-19,30,53,NO-B2-2 ,71571
NORMAN  ,A2,S ,1 ,-3,-16,40,49,NO-B1-1 ,63722
NORMAN  ,A2,S ,2 ,-5,-15,42,48,NO-B1-2 ,65021
NORMAN  ,A2,S ,3 ,-5,-16,42,49,NO-B1-3 ,66385
NORMAN  ,A2,S ,4 ,-5,-16,42,49,NO-B1-4 ,67742
NORMAN  ,A2,S ,5 ,-5,-16,42,48,NO-B1-5 ,69095
NORMAN  ,A2,S ,6 ,-5,-15,42,48,NO-B1-2 ,65021
NORMAN  ,A2,SW,1 ,-2,-18,33,52,NO-B2-1 ,70439
NORMAN  ,A2,SW,2 ,-2,-19,30,53,NO-B2-2 ,71571
NORMAN  ,A2,SW,3 ,-7,-20,35,54,NO-B2-3 ,72720
NORMAN  ,A2,SW,4 ,-7,-20,35,54,NO-B2-4 ,73916
NORMAN  ,A2,SW,5 ,-5,-19,33,52,NO-B2-5 ,75112
NORMAN  ,A2,SW,6 ,-2,-19,30,53,NO-B2-2 ,71571
NORMAN  ,A2,W ,1 ,1,-22,33,52,NO-B3-1 ,76279
NORMAN  ,A2,W ,2 ,-11,-22,45,52,NO-B3-2 ,77401
NORMAN  ,A2,W ,3 ,-20,-22,56,52,NO-B3-3 ,78692
NORMAN  ,A2,W ,4 ,-20,-22,54,52,NO-B3-4 ,80099
NORMAN  ,A2,W ,5 ,-18,-21,52,51,NO-B3-5 ,81479
NORMAN  ,A2,W ,6 ,-11,-22,45,52,NO-B3-2 ,77401
NORMAN  ,A2,NW,1 ,-5,-21,42,49,NO-B4-1 ,82834
NORMAN  ,A2,NW,2 ,-14,-20,53,48,NO-B4-2 ,84134
NORMAN  ,A2,NW,3 ,-19,-27,57,55,NO-B4-3 ,85643
NORMAN  ,A2,NW,4 ,-19,-27,57,55,NO-B4-4 ,87281
NORMAN  ,A2,NW,5 ,-18,-27,56,55,NO-B4-5 ,88914
NORMAN  ,A2,NW,6 ,-14,-20,53,48,NO-B4-2 ,84134
NORMAN  ,D ,  ,1 ,-1,-22,40,51,NO-D-1  ,103156
NORMAN  ,D ,  ,2 ,-2,-14,45,42,NO-D-2  ,104462
NORMAN  ,D ,  ,3 ,-6,-4,54,55,NO-D-3  ,105707
NORMAN  ,D ,  ,4 ,-6,-4,54,55,NO-D-4  ,107102
NORMAN  ,D ,  ,5 ,-6,-4,54,55,NO-D-5  ,108567
NORMAN  ,D ,  ,6 ,-6,-4,54,55,NO-D-5  ,108567
NORMAN  ,G ,N ,1 ,0,-21,29,50,NO-G5-1 ,102019
NORMAN  ,G ,N ,2 ,0,-21,29,50,NO-G5-1 ,102019
NORMAN  ,G ,N ,3 ,0,-21,29,50,NO-G5-1 ,102019
NORMAN  ,G ,N ,4 ,0,-21,29,50,NO-G5-1 ,102019
NORMAN  ,G ,N ,5 ,0,-21,29,50,NO-G5-1 ,102019
NORMAN  ,G ,NE,1 ,-7,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NE,2 ,-7,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NE,3 ,-7,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NE,4 ,-7,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NE,5 ,-7,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,E ,1 ,0,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,E ,2 ,0,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,E ,3 ,0,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,E ,4 ,0,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,E ,5 ,0,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,SE,1 ,3,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SE,2 ,3,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SE,3 ,3,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SE,4 ,3,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SE,5 ,3,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,S ,1 ,3,-16,29,49,NO-G1-1 ,97743
NORMAN  ,G ,S ,2 ,3,-16,29,49,NO-G1-1 ,97743
NORMAN  ,G ,S ,3 ,3,-16,29,49,NO-G1-1 ,97743
NORMAN  ,G ,S ,4 ,3,-16,29,49,NO-G1-1 ,97743
NORMAN  ,G ,S ,5 ,3,-16,29,49,NO-G1-1 ,97743
NORMAN  ,G ,SW,1 ,1,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SW,2 ,1,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SW,3 ,1,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SW,4 ,1,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,SW,5 ,1,-17,29,51,NO-G2-1 ,98795
NORMAN  ,G ,W ,1 ,1,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,W ,2 ,1,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,W ,3 ,1,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,W ,4 ,1,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,W ,5 ,1,-20,32,51,NO-G3-1 ,99854
NORMAN  ,G ,NW,1 ,4,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NW,2 ,4,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NW,3 ,4,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NW,4 ,4,-22,36,50,NO-G4-1 ,100885
NORMAN  ,G ,NW,5 ,4,-22,36,50,NO-G4-1 ,100885
NORMAN  ,GM,N ,1 ,0,-23,31,52,NO-GM5-1,134562
NORMAN  ,GM,N ,2 ,-4,-24,36,54,NO-GM5-2,135776
NORMAN  ,GM,N ,3 ,-3,-23,34,56,NO-GM5-3,137035
NORMAN  ,GM,N ,4 ,0,-23,31,52,NO-GM5-1,134562
NORMAN  ,GM,N ,5 ,-1,-22,32,53,NO-GM5-4,138242
NORMAN  ,GM,N ,6 ,-2,-24,32,59,NO-GM5-5,139415
NORMAN  ,GM,NE,1 ,-4,-25,33,53,NO-GM4-1,128481
NORMAN  ,GM,NE,2 ,-3,-27,37,51,NO-GM4-2,129636
NORMAN  ,GM,NE,3 ,-4,-26,40,53,NO-GM4-3,130854
NORMAN  ,GM,NE,4 ,-4,-25,33,53,NO-GM4-1,128481
NORMAN  ,GM,NE,5 ,-5,-25,39,57,NO-GM4-4,132111
NORMAN  ,GM,NE,6 ,-4,-27,42,62,NO-GM4-5,133281
NORMAN  ,GM,E ,1 ,2,-23,33,54,NO-GM3-1,122496
NORMAN  ,GM,E ,2 ,2,-24,34,51,NO-GM3-2,123568
NORMAN  ,GM,E ,3 ,2,-23,36,52,NO-GM3-3,124800
NORMAN  ,GM,E ,4 ,2,-23,33,54,NO-GM3-1,122496
NORMAN  ,GM,E ,5 ,-1,-24,37,53,NO-GM3-4,126011
NORMAN  ,GM,E ,6 ,-5,-26,43,56,NO-GM3-5,127169
NORMAN  ,GM,SE,1 ,4,-19,33,53,NO-GM2-1,116188
NORMAN  ,GM,SE,2 ,-4,-20,41,49,NO-GM2-2,117422
NORMAN  ,GM,SE,3 ,-1,-19,37,57,NO-GM2-3,118700
NORMAN  ,GM,SE,4 ,4,-19,33,53,NO-GM2-1,116188
NORMAN  ,GM,SE,5 ,3,-20,34,47,NO-GM2-4,119988
NORMAN  ,GM,SE,6 ,0,-18,38,49,NO-GM2-5,121203
NORMAN  ,GM,S ,1 ,1,-19,31,52,NO-GM1-1,110144
NORMAN  ,GM,S ,2 ,0,-20,36,47,NO-GM1-2,111337
NORMAN  ,GM,S ,3 ,1,-19,33,59,NO-GM1-3,112514
NORMAN  ,GM,S ,4 ,1,-19,31,52,NO-GM1-1,110144
NORMAN  ,GM,S ,5 ,0,-19,33,50,NO-GM1-4,113749
NORMAN  ,GM,S ,6 ,2,-18,32,58,NO-GM1-5,114963
NORMAN  ,GM,SW,1 ,-4,-19,33,53,NO-GM2-1,116188
NORMAN  ,GM,SW,2 ,-4,-20,41,49,NO-GM2-2,117422
NORMAN  ,GM,SW,3 ,-3,-19,37,57,NO-GM2-3,118700
NORMAN  ,GM,SW,4 ,-4,-19,33,53,NO-GM2-1,116188
NORMAN  ,GM,SW,5 ,-4,-20,34,47,NO-GM2-4,119988
NORMAN  ,GM,SW,6 ,-5,-18,38,49,NO-GM2-5,121203
NORMAN  ,GM,W ,1 ,-2,-23,33,54,NO-GM3-1,122496
NORMAN  ,GM,W ,2 ,-3,-24,34,51,NO-GM3-2,123568
NORMAN  ,GM,W ,3 ,-5,-23,36,52,NO-GM3-3,124800
NORMAN  ,GM,W ,4 ,-2,-23,33,54,NO-GM3-1,122496
NORMAN  ,GM,W ,5 ,-3,-24,37,53,NO-GM3-4,126011
NORMAN  ,GM,W ,6 ,-5,-26,43,56,NO-GM3-5,127169
NORMAN  ,GM,NW,1 ,4,-25,33,53,NO-GM4-1,128481
NORMAN  ,GM,NW,2 ,-1,-27,37,51,NO-GM4-2,129636
NORMAN  ,GM,NW,3 ,-3,-26,40,53,NO-GM4-3,130854
NORMAN  ,GM,NW,4 ,4,-25,33,53,NO-GM4-1,128481
NORMAN  ,GM,NW,5 ,-1,-25,39,57,NO-GM4-4,132111
NORMAN  ,GM,NW,6 ,-5,-27,42,62,NO-GM4-5,133281
MAYA    ,M ,N ,1 ,-5,-17,47,51,MA-M5-1 ,34607
MAYA    ,M ,N ,2 ,-4,-17,48,56,MA-M5-2 ,36336
MAYA    ,M ,N ,3 ,-4,-15,49,59,MA-M5-3 ,38056
MAYA    ,M ,N ,4 ,-5,-17,47,51,MA-M5-1 ,34607
MAYA    ,M ,N ,5 ,-4,-25,40,64,MA-M5-4 ,39798
MAYA    ,M ,N ,6 ,-7,-21,44,65,MA-M5-5 ,41625
MAYA    ,M ,NE,1 ,-2,-16,55,52,MA-M4-1 ,25805
MAYA    ,M ,NE,2 ,-2,-17,50,49,MA-M4-2 ,27492
MAYA    ,M ,NE,3 ,-6,-15,57,49,MA-M4-3 ,29018
MAYA    ,M ,NE,4 ,-2,-16,55,52,MA-M4-1 ,25805
MAYA    ,M ,NE,5 ,-4,-18,55,60,MA-M4-4 ,30660
MAYA    ,M ,NE,6 ,-4,-17,55,61,MA-M4-5 ,32661
MAYA    ,M ,E ,1 ,1,-18,44,57,MA-M3-1 ,17405
MAYA    ,M ,E ,2 ,-1,-17,39,57,MA-M3-2 ,18960
MAYA    ,M ,E ,3 ,-7,-17,47,57,MA-M3-3 ,20584
MAYA    ,M ,E ,4 ,1,-18,44,57,MA-M3-1 ,17405
MAYA    ,M ,E ,5 ,-1,-19,58,56,MA-M3-4 ,22247
MAYA    ,M ,E ,6 ,-7,-19,60,55,MA-M3-5 ,24044
MAYA    ,M ,SE,1 ,-3,-18,38,59,MA-M2-1 ,9097
MAYA    ,M ,SE,2 ,-10,-16,53,57,MA-M2-2 ,10746
MAYA    ,M ,SE,3 ,-7,-16,47,61,MA-M2-3 ,12546
MAYA    ,M ,SE,4 ,-3,-18,38,59,MA-M2-1 ,9097
MAYA    ,M ,SE,5 ,-3,-18,43,54,MA-M2-4 ,14368
MAYA    ,M ,SE,6 ,-8,-18,47,56,MA-M2-5 ,15837
MAYA    ,M ,S ,1 ,-8,-19,46,55,MA-M1-1 ,0
MAYA    ,M ,S ,2 ,-10,-17,49,53,MA-M1-2 ,1725
MAYA    ,M ,S ,3 ,-11,-18,49,58,MA-M1-3 ,3509
MAYA    ,M ,S ,4 ,-8,-19,46,55,MA-M1-1 ,0
MAYA    ,M ,S ,5 ,-4,-17,41,62,MA-M1-4 ,5479
MAYA    ,M ,S ,6 ,-4,-17,43,61,MA-M1-5 ,7194
MAYA    ,M ,SW,1 ,-2,-18,38,59,MA-M2-1 ,9097
MAYA    ,M ,SW,2 ,-10,-16,53,57,MA-M2-2 ,10746
MAYA    ,M ,SW,3 ,-7,-16,47,61,MA-M2-3 ,12546
MAYA    ,M ,SW,4 ,-2,-18,38,59,MA-M2-1 ,9097
MAYA    ,M ,SW,5 ,-7,-18,43,54,MA-M2-4 ,14368
MAYA    ,M ,SW,6 ,-6,-18,47,56,MA-M2-5 ,15837
MAYA    ,M ,W ,1 ,-12,-18,44,57,MA-M3-1 ,17405
MAYA    ,M ,W ,2 ,-5,-17,39,57,MA-M3-2 ,18960
MAYA    ,M ,W ,3 ,-7,-17,47,57,MA-M3-3 ,20584
MAYA    ,M ,W ,4 ,-12,-18,44,57,MA-M3-1 ,17405
MAYA    ,M ,W ,5 ,-24,-19,58,56,MA-M3-4 ,22247
MAYA    ,M ,W ,6 ,-20,-19,60,55,MA-M3-5 ,24044
MAYA    ,M ,NW,1 ,-20,-16,55,52,MA-M4-1 ,25805
MAYA    ,M ,NW,2 ,-15,-17,50,49,MA-M4-2 ,27492
MAYA    ,M ,NW,3 ,-18,-15,57,49,MA-M4-3 ,29018
MAYA    ,M ,NW,4 ,-20,-16,55,52,MA-M4-1 ,25805
MAYA    ,M ,NW,4 ,-18,-18,55,60,MA-M4-4 ,30660
MAYA    ,M ,NW,6 ,-18,-17,55,61,MA-M4-5 ,32661
MAYA    ,A1,N ,1 ,-5,-17,47,51,MA-M5-1 ,34607
MAYA    ,A1,N ,2 ,-3,-13,62,52,MA-A5-1 ,82738
MAYA    ,A1,N ,3 ,2,-15,67,64,MA-A5-2 ,84563
MAYA    ,A1,N ,4 ,1,-15,52,65,MA-A5-3 ,86528
MAYA    ,A1,N ,5 ,-5,-20,52,69,MA-A5-4 ,88501
MAYA    ,A1,N ,6 ,-10,-60,43,108,MA-A5-5 ,90566
MAYA    ,A1,NE,1 ,-2,-16,55,52,MA-M4-1 ,25805
MAYA    ,A1,NE,2 ,-4,-14,64,50,MA-A4-1 ,73540
MAYA    ,A1,NE,3 ,-9,-13,46,59,MA-A4-2 ,75231
MAYA    ,A1,NE,4 ,-13,-13,48,51,MA-A4-3 ,76892
MAYA    ,A1,NE,5 ,-9,-20,49,57,MA-A4-4 ,78423
MAYA    ,A1,NE,6 ,-15,-51,75,86,MA-A4-5 ,80367
MAYA    ,A1,E ,1 ,1,-18,44,57,MA-M3-1 ,17405
MAYA    ,A1,E ,2 ,-5,-17,44,65,MA-A3-1 ,63571
MAYA    ,A1,E ,3 ,-23,-14,57,62,MA-A3-2 ,65422
MAYA    ,A1,E ,4 ,-28,-12,60,52,MA-A3-3 ,67447
MAYA    ,A1,E ,5 ,-10,-22,43,62,MA-A3-4 ,69463
MAYA    ,A1,E ,6 ,-15,-17,98,57,MA-A3-5 ,71154
MAYA    ,A1,SE,1 ,-3,-18,38,59,MA-M2-1 ,9097
MAYA    ,A1,SE,2 ,-12,-21,47,60,MA-A2-1 ,53591
MAYA    ,A1,SE,3 ,-39,-20,73,59,MA-A2-2 ,55555
MAYA    ,A1,SE,4 ,-43,-22,77,62,MA-A2-3 ,57690
MAYA    ,A1,SE,5 ,-4,-19,51,59,MA-A2-4 ,59878
MAYA    ,A1,SE,6 ,1,-26,69,68,MA-A2-5 ,61539
MAYA    ,A1,S ,1 ,-8,-19,46,55,MA-M1-1 ,0
MAYA    ,A1,S ,2 ,-29,-23,64,55,MA-A1-1 ,43393
MAYA    ,A1,S ,3 ,-41,-37,72,69,MA-A1-2 ,45445
MAYA    ,A1,S ,4 ,-19,-54,51,87,MA-A1-3 ,47544
MAYA    ,A1,S ,5 ,-14,-28,59,62,MA-A1-4 ,49708
MAYA    ,A1,S ,6 ,0,-23,40,80,MA-A1-5 ,51845
MAYA    ,A1,SW,1 ,-2,-18,38,59,MA-M2-1 ,9097
MAYA    ,A1,SW,2 ,-2,-21,47,60,MA-A2-1 ,53591
MAYA    ,A1,SW,3 ,-1,-20,73,59,MA-A2-2 ,55555
MAYA    ,A1,SW,4 ,-1,-22,77,62,MA-A2-3 ,57690
MAYA    ,A1,SW,5 ,-14,-19,51,59,MA-A2-4 ,59878
MAYA    ,A1,SW,6 ,-37,-26,69,68,MA-A2-5 ,61539
MAYA    ,A1,W ,1 ,-12,-18,44,57,MA-M3-1 ,17405
MAYA    ,A1,W ,2 ,-6,-17,44,65,MA-A3-1 ,63571
MAYA    ,A1,W ,3 ,-1,-14,57,62,MA-A3-2 ,65422
MAYA    ,A1,W ,4 ,1,-12,60,52,MA-A3-3 ,67447
MAYA    ,A1,W ,5 ,0,-22,43,62,MA-A3-4 ,69463
MAYA    ,A1,W ,6 ,-50,-17,98,57,MA-A3-5 ,71154
MAYA    ,A1,NW,1 ,-20,-16,55,52,MA-M4-1 ,25805
MAYA    ,A1,NW,2 ,-27,-14,64,50,MA-A4-1 ,73540
MAYA    ,A1,NW,3 ,-4,-13,46,59,MA-A4-2 ,75231
MAYA    ,A1,NW,4 ,-2,-13,48,51,MA-A4-3 ,76892
MAYA    ,A1,NW,5 ,-7,-20,49,57,MA-A4-4 ,78423
MAYA    ,A1,NW,6 ,-27,-51,75,86,MA-A4-5 ,80367
MAYA    ,D ,  ,1 ,-20,-12,66,68,MA-D-1  ,92630
MAYA    ,D ,  ,2 ,-20,-12,66,68,MA-D-1  ,92630
MAYA    ,D ,  ,3 ,-20,-12,66,68,MA-D-1  ,92630
MAYA    ,D ,  ,4 ,-16,9,55,55,MA-D-2  ,94907
MAYA    ,D ,  ,5 ,-16,9,55,55,MA-D-2  ,94907
MAYA    ,D ,  ,6 ,-13,12,54,47,MA-D-3  ,96717
MAYA    ,D ,  ,7 ,-13,12,54,47,MA-D-3  ,96717
MAYA    ,D ,  ,8 ,-11,21,41,31,MA-D-4  ,98101
MAYA    ,D ,  ,9 ,-11,21,41,31,MA-D-4  ,98101
MAYA    ,D ,  ,10,-6,22,27,22,MA-D-5  ,98904
MAYA    ,D ,  ,11,-6,22,27,22,MA-D-5  ,98904
GREEK   ,M ,N ,1 ,-5,-17,39,53,GR-M5-1 ,27686
GREEK   ,M ,N ,2 ,-1,-13,33,52,GR-M5-2 ,28970
GREEK   ,M ,N ,3 ,-2,-12,35,53,GR-M5-3 ,30154
GREEK   ,M ,N ,4 ,-5,-17,39,53,GR-M5-1 ,27686
GREEK   ,M ,N ,5 ,-6,-17,37,54,GR-M5-4 ,31367
GREEK   ,M ,N ,6 ,-6,-20,36,63,GR-M5-5 ,32541
GREEK   ,M ,NE,1 ,0,-17,44,51,GR-M4-1 ,21164
GREEK   ,M ,NE,2 ,3,-17,38,50,GR-M4-2 ,22402
