ROCKID,X_LOC,Y_LOC,FRAME_NO,FILENAME,BITMAPPTR
DBG  ,0,0,1,DBG-00  ,118680
DBG  ,1,0,1,DBG-01  ,119712
DBG  ,0,1,1,DBG-10  ,120744
DBG  ,1,1,1,DBG-11  ,121776
DBH  ,0,0,1,DBH-00  ,122808
DBH  ,1,0,1,DBH-01  ,123840
DBH  ,0,1,1,DBH-10  ,124872
DBH  ,1,1,1,DBH-11  ,125904
DBI  ,0,0,1,DBI-00  ,126936
DBI  ,1,0,1,DBI-01  ,127968
DBI  ,0,1,1,DBI-10  ,129000
DBI  ,1,1,1,DBI-11  ,130032
DBJ  ,0,0,1,DBJ-00  ,131064
DBJ  ,1,0,1,DBJ-01  ,132096
DBJ  ,0,1,1,DBJ-10  ,133128
DBJ  ,1,1,1,DBJ-11  ,134160
DBK  ,0,0,1,DBK-00  ,135192
DBK  ,1,0,1,DBK-01  ,136224
DBK  ,0,1,1,DBK-10  ,137256
DBK  ,1,1,1,DBK-11  ,138288
DBL  ,0,0,1,DBL-00  ,139320
DBL  ,1,0,1,DBL-01  ,140352
DBL  ,0,1,1,DBL-10  ,141384
DBL  ,1,1,1,DBL-11  ,142416
DBM  ,0,0,1,DBM-00  ,143448
DBM  ,1,0,1,DBM-01  ,144480
DBM  ,0,1,1,DBM-10  ,145512
DBM  ,1,1,1,DBM-11  ,146544
DBN  ,0,0,1,DBN-00  ,147576
DBN  ,1,0,1,DBN-01  ,148608
DBN  ,0,1,1,DBN-10  ,149640
DBN  ,1,1,1,DBN-11  ,150672
DBO  ,0,0,1,DBO-00  ,151704
DBO  ,1,0,1,DBO-01  ,152736
DBO  ,0,1,1,DBO-10  ,153768
DBO  ,1,1,1,DBO-11  ,154800
DBP  ,0,0,1,DBP-00  ,155832
DBP  ,1,0,1,DBP-01  ,156864
DBP  ,0,1,1,DBP-10  ,157896
DBP  ,1,1,1,DBP-11  ,158928
DBQ  ,0,0,1,DBQ-00  ,159960
DBQ  ,1,0,1,DBQ-01  ,160992
DBQ  ,0,1,1,DBQ-10  ,162024
DBQ  ,1,1,1,DBQ-11  ,163056
DBR  ,0,0,1,DBR-00  ,164088
DBR  ,1,0,1,DBR-01  ,165120
DBR  ,0,1,1,DBR-10  ,166152
DBR  ,1,1,1,DBR-11  ,167184
DBS  ,0,0,1,DBS-00  ,168216
DBS  ,1,0,1,DBS-01  ,169248
DBS  ,0,1,1,DBS-10  ,170280
DBS  ,1,1,1,DBS-11  ,171312
DBT  ,0,0,1,DBT-00  ,172344
DBT  ,1,0,1,DBT-01  ,173376
DBT  ,0,1,1,DBT-10  ,174408
DBT  ,1,1,1,DBT-11  ,175440
DBU  ,0,0,1,DBU-00  ,176472
DBU  ,1,0,1,DBU-01  ,177504
DBU  ,0,1,1,DBU-10  ,178536
DBU  ,1,1,1,DBU-11  ,179568
DBV  ,0,0,1,DBV-00  ,180600
DBV  ,1,0,1,DBV-01  ,181632
DBV  ,0,1,1,DBV-10  ,182664
DBV  ,1,1,1,DBV-11  ,183696
DBW  ,0,0,1,DBW-00  ,184728
DBW  ,1,0,1,DBW-01  ,185760
DBW  ,0,1,1,DBW-10  ,186792
DBW  ,1,1,1,DBW-11  ,187824
DBX  ,0,0,1,DBX-00  ,188856
DBX  ,1,0,1,DBX-01  ,189888
DBX  ,0,1,1,DBX-10  ,190920
DBX  ,1,1,1,DBX-11  ,191952
DBY  ,0,0,1,DBY-00  ,192984
DBY  ,1,0,1,DBY-01  ,194016
DBY  ,0,1,1,DBY-10  ,195048
DBY  ,1,1,1,DBY-11  ,196080
DBZ  ,0,0,1,DBZ-00  ,197112
DBZ  ,1,0,1,DBZ-01  ,198144
DBZ  ,0,1,1,DBZ-10  ,199176
DBZ  ,1,1,1,DBZ-11  ,200208
DC1  ,0,0,1,DC1-00  ,289992
DC1  ,1,0,1,DC1-01  ,291024
DC1  ,2,0,1,DC1-02  ,292056
DC1  ,0,1,1,DC1-10  ,293088
DC1  ,1,1,1,DC1-11  ,294120
DC1  ,2,1,1,DC1-12  ,295152
DC1  ,0,2,1,DC1-20  ,296184
DC1  ,1,2,1,DC1-21  ,297216
DC3  ,1,0,1,DC3-01  ,316824
DC3  ,2,0,1,DC3-02  ,317856
DC3  ,0,1,1,DC3-10  ,318888
DC3  ,1,1,1,DC3-11  ,319920
DC3  ,2,1,1,DC3-12  ,320952
DC3  ,0,2,1,DC3-20  ,321984
DC3  ,1,2,1,DC3-21  ,323016
DC3  ,2,2,1,DC3-22  ,324048
DC4  ,0,0,1,DC4-00  ,325080
DC4  ,1,0,1,DC4-01  ,326112
DC4  ,2,0,1,DC4-02  ,327144
DC4  ,0,1,1,DC4-10  ,328176
DC4  ,1,1,1,DC4-11  ,329208
DC4  ,2,1,1,DC4-12  ,330240
DC5  ,0,0,1,DC5-00  ,331272
DC5  ,1,0,1,DC5-01  ,332304
DC5  ,0,1,1,DC5-10  ,333336
DC5  ,1,1,1,DC5-11  ,334368
DC5  ,2,1,1,DC5-12  ,335400
DD1  ,0,0,1,DD1-00  ,336432
DD1  ,1,0,1,DD1-01  ,337464
DD1  ,2,0,1,DD1-02  ,338496
DD1  ,0,1,1,DD1-10  ,339528
DD1  ,1,1,1,DD1-11  ,340560
DD1  ,2,1,1,DD1-12  ,341592
DD1  ,3,1,1,DD1-13  ,342624
DD1  ,0,2,1,DD1-20  ,343656
DD1  ,1,2,1,DD1-21  ,344688
DD1  ,2,2,1,DD1-22  ,345720
DD1  ,3,2,1,DD1-23  ,346752
DD2  ,0,0,1,DD2-00  ,347784
DD2  ,1,0,1,DD2-01  ,348816
DD2  ,2,0,1,DD2-02  ,349848
DD2  ,3,0,1,DD2-03  ,350880
DD2  ,0,1,1,DD2-10  ,351912
DD2  ,1,1,1,DD2-11  ,352944
DD2  ,2,1,1,DD2-12  ,353976
DD2  ,0,2,1,DD2-20  ,355008
DD2  ,1,2,1,DD2-21  ,356040
DD2  ,2,2,1,DD2-22  ,357072
DD3  ,0,0,1,DD3-00  ,358104
DD3  ,1,0,1,DD3-01  ,359136
DD3  ,2,0,1,DD3-02  ,360168
DD3  ,3,0,1,DD3-03  ,361200
DD3  ,0,1,1,DD3-10  ,362232
DD3  ,1,1,1,DD3-11  ,363264
DD3  ,2,1,1,DD3-12  ,364296
DD3  ,3,1,1,DD3-13  ,365328
DD4  ,0,0,1,DD4-00  ,366360
DD4  ,1,0,1,DD4-01  ,367392
DD4  ,2,0,1,DD4-02  ,368424
DD4  ,3,0,1,DD4-03  ,369456
DD4  ,1,1,1,DD4-11  ,370488
DD4  ,2,1,1,DD4-12  ,371520
DD4  ,3,1,1,DD4-13  ,372552
DD4  ,0,2,1,DD4-20  ,373584
DD4  ,1,2,1,DD4-21  ,374616
DD4  ,2,2,1,DD4-22  ,375648
DD4  ,3,2,1,DD4-23  ,376680
DQ1  ,0,0,1,DQ1-00  ,201240
DQ1  ,1,0,1,DQ1-01  ,202272
DQ1  ,0,1,1,DQ1-10  ,203304
DQ1  ,1,1,1,DQ1-11  ,204336
DQ2  ,0,0,1,DQ2-00  ,205368
DQ2  ,1,0,1,DQ2-01  ,206400
DQ2  ,0,1,1,DQ2-10  ,207432
DQ2  ,1,1,1,DQ2-11  ,208464
DQ3  ,0,0,1,DQ3-00  ,209496
DQ3  ,1,0,1,DQ3-01  ,210528
DQ3  ,0,1,1,DQ3-10  ,211560
DQ3  ,1,1,1,DQ3-11  ,212592
DQ4  ,0,0,1,DQ4-00  ,213624
DQ4  ,1,0,1,DQ4-01  ,214656
DQ4  ,0,1,1,DQ4-10  ,215688
DQ4  ,1,1,1,DQ4-11  ,216720
DQ5  ,0,0,1,DQ5-00  ,217752
DQ5  ,1,0,1,DQ5-01  ,218784
DQ5  ,0,1,1,DQ5-10  ,219816
DQ5  ,1,1,1,DQ5-11  ,220848
DQ6  ,0,0,1,DQ6-00  ,221880
DQ6  ,1,0,1,DQ6-01  ,222912
DQ6  ,0,1,1,DQ6-10  ,223944
DQ6  ,1,1,1,DQ6-11  ,224976
DQ7  ,0,0,1,DQ7-00  ,226008
DQ7  ,1,0,1,DQ7-01  ,227040
DQ7  ,0,1,1,DQ7-10  ,228072
DQ7  ,1,1,1,DQ7-11  ,229104
DQ8  ,0,0,1,DQ8-00  ,230136
DQ8  ,1,0,1,DQ8-01  ,231168
DQ8  ,0,1,1,DQ8-10  ,232200
DQ8  ,1,1,1,DQ8-11  ,233232
DQ9  ,0,0,1,DQ9-00  ,234264
DQ9  ,1,0,1,DQ9-01  ,235296
DQ9  ,0,1,1,DQ9-10  ,236328
DQ9  ,1,1,1,DQ9-11  ,237360
DQA  ,0,0,1,DQA-00  ,238392
DQA  ,1,0,1,DQA-01  ,239424
DQA  ,0,1,1,DQA-10  ,240456
DQA  ,1,1,1,DQA-11  ,241488
DQB  ,0,0,1,DQB-00  ,242520
DQB  ,1,0,1,DQB-01  ,243552
DQB  ,0,1,1,DQB-10  ,244584
DQB  ,1,1,1,DQB-11  ,245616
DQC  ,0,0,1,DQC-00  ,246648
DQC  ,1,0,1,DQC-01  ,247680
DQC  ,0,1,1,DQC-10  ,248712
DQC  ,1,1,1,DQC-11  ,249744
DQD  ,0,0,1,DQD-00  ,250776
DQD  ,1,0,1,DQD-01  ,251808
DQD  ,0,1,1,DQD-10  ,252840
DQD  ,1,1,1,DQD-11  ,253872
DQE  ,0,0,1,DQE-00  ,254904
DQE  ,1,0,1,DQE-01  ,255936
DQE  ,0,1,1,DQE-10  ,256968
DQE  ,1,1,1,DQE-11  ,258000
DQF  ,0,0,1,DQF-00  ,259032
DQF  ,1,0,1,DQF-01  ,260064
DQF  ,0,1,1,DQF-10  ,261096
DQF  ,1,1,1,DQF-11  ,262128
DQG  ,0,0,1,DQG-00  ,263160
DQG  ,1,0,1,DQG-01  ,264192
DQG  ,0,1,1,DQG-10  ,265224
DQG  ,1,1,1,DQG-11  ,266256
DQH  ,0,0,1,DQH-00  ,267288
DQH  ,1,0,1,DQH-01  ,268320
DQH  ,0,1,1,DQH-10  ,269352
DQH  ,1,1,1,DQH-11  ,270384
DQI  ,0,0,1,DQI-00  ,271416
DQI  ,1,0,1,DQI-01  ,272448
DQI  ,0,1,1,DQI-10  ,273480
DQI  ,1,1,1,DQI-11  ,274512
DQJ  ,0,0,1,DQJ-00  ,275544
DQJ  ,1,0,1,DQJ-01  ,276576
DQJ  ,0,1,1,DQJ-10  ,277608
DQJ  ,1,1,1,DQJ-11  ,278640
RB1  ,0,0,1,RB1-00  ,72240
RB1  ,1,0,1,RB1-01  ,73272
RB1  ,0,1,1,RB1-10  ,74304
RB1  ,1,1,1,RB1-11  ,75336
RC1  ,0,0,1,RC1-00  ,76368
RC1  ,1,0,1,RC1-01  ,77400
RC1  ,2,0,1,RC1-02  ,78432
RC1  ,0,1,1,RC1-10  ,79464
RC1  ,1,1,1,RC1-11  ,80496
RC1  ,2,1,1,RC1-12  ,81528
RC1  ,0,2,1,RC1-20  ,82560
RC1  ,1,2,1,RC1-21  ,83592
RC1  ,2,2,1,RC1-22  ,84624
RE1  ,0,0,1,RE1-00  ,0
RE1  ,1,0,1,RE1-01  ,1032
RE1  ,2,0,1,RE1-02  ,2064
RE1  ,3,0,1,RE1-03  ,3096
RE1  ,4,0,1,RE1-04  ,4128
RE1  ,0,1,1,RE1-10  ,5160
RE1  ,1,1,1,RE1-11  ,6192
RE1  ,2,1,1,RE1-12  ,7224
RE1  ,3,1,1,RE1-13  ,8256
RE1  ,4,1,1,RE1-14  ,9288
RE1  ,0,2,1,RE1-20  ,10320
RE1  ,1,2,1,RE1-21  ,11352
RE1  ,2,2,1,RE1-22  ,12384
RE1  ,3,2,1,RE1-23  ,13416
RE1  ,4,2,1,RE1-24  ,14448
RE1  ,0,3,1,RE1-30  ,15480
RE1  ,1,3,1,RE1-31  ,16512
RE1  ,2,3,1,RE1-32  ,17544
RE1  ,3,3,1,RE1-33  ,18576
RE1  ,4,3,1,RE1-34  ,19608
RE1  ,0,4,1,RE1-40  ,20640
RE1  ,1,4,1,RE1-41  ,21672
RE1  ,2,4,1,RE1-42  ,22704
RE1  ,3,4,1,RE1-43  ,23736
RE1  ,4,4,1,RE1-44  ,24768
RE2  ,0,0,1,RE2-00  ,25800
RE2  ,1,0,1,RE2-01  ,26832
RE2  ,2,0,1,RE2-02  ,27864
RE2  ,0,1,1,RE2-10  ,28896
RE2  ,1,1,1,RE2-11  ,29928
RE2  ,2,1,1,RE2-12  ,30960
RE2  ,0,2,1,RE2-20  ,31992
RE2  ,1,2,1,RE2-21  ,33024
RE2  ,2,2,1,RE2-22  ,34056
RE2  ,3,2,1,RE2-23  ,35088
RE2  ,0,3,1,RE2-30  ,36120
RE2  ,1,3,1,RE2-31  ,37152
RE2  ,2,3,1,RE2-32  ,38184
RE2  ,3,3,1,RE2-33  ,39216
RE2  ,0,4,1,RE2-40  ,40248
RE2  ,1,4,1,RE2-41  ,41280
RE2  ,2,4,1,RE2-42  ,42312
RE2  ,3,4,1,RE2-43  ,43344
RF1  ,1,0,1,RF1-01  ,44376
RF1  ,2,0,1,RF1-02  ,45408
RF1  ,3,0,1,RF1-03  ,46440
RF1  ,0,1,1,RF1-10  ,47472
RF1  ,1,1,1,RF1-11  ,48504
RF1  ,2,1,1,RF1-12  ,49536
RF1  ,3,1,1,RF1-13  ,50568
RF1  ,4,1,1,RF1-14  ,51600
RF1  ,5,1,1,RF1-15  ,52632
RF1  ,0,2,1,RF1-20  ,53664
RF1  ,1,2,1,RF1-21  ,54696
RF1  ,2,2,1,RF1-22  ,55728
RF1  ,3,2,1,RF1-23  ,56760
RF1  ,4,2,1,RF1-24  ,57792
RF1  ,5,2,1,RF1-25  ,58824
RF1  ,0,3,1,RF1-30  ,59856
RF1  ,1,3,1,RF1-31  ,60888
RF1  ,2,3,1,RF1-32  ,61920
RF1  ,3,3,1,RF1-33  ,62952
RF1  ,4,3,1,RF1-34  ,63984
RF1  ,5,3,1,RF1-35  ,65016
RF1  ,0,4,1,RF1-40  ,66048
RF1  ,1,4,1,RF1-41  ,67080
RF1  ,2,4,1,RF1-42  ,68112
RF1  ,3,4,1,RF1-43  ,69144
RF1  ,4,4,1,RF1-44  ,70176
RF1  ,5,4,1,RF1-45  ,71208
