ROCKID,X_LOC,Y_LOC,FRAME_NO,FILENAME,BITMAPPTR
RD1  ,0,1,1,RD1-10  ,10320
RD1  ,1,1,1,RD1-11  ,11352
RD2  ,0,0,1,RD2-00  ,12384
RD2  ,1,0,1,RD2-01  ,13416
RD2  ,0,1,1,RD2-10  ,14448
RD2  ,1,1,1,RD2-11  ,15480
RD3  ,0,0,1,RD3-00  ,16512
RD3  ,1,0,1,RD3-01  ,17544
RD3  ,0,1,1,RD3-10  ,18576
RD3  ,1,1,1,RD3-11  ,19608
RQ1  ,0,0,1,RQ1-00  ,20640
RQ1  ,1,0,1,RQ1-01  ,21672
RQ1  ,2,0,1,RQ1-02  ,22704
RQ1  ,3,0,1,RQ1-03  ,23736
RQ1  ,0,1,1,RQ1-10  ,24768
RQ1  ,1,1,1,RQ1-11  ,25800
RQ1  ,2,1,1,RQ1-12  ,26832
RQ1  ,3,1,1,RQ1-13  ,27864
RQ1  ,0,2,1,RQ1-20  ,28896
RQ1  ,1,2,1,RQ1-21  ,29928
RQ1  ,2,2,1,RQ1-22  ,30960
RQ1  ,3,2,1,RQ1-23  ,31992
RQ2  ,0,0,1,RQ2-00  ,33024
RQ2  ,1,0,1,RQ2-01  ,34056
RQ2  ,2,0,1,RQ2-02  ,35088
RQ2  ,3,0,1,RQ2-03  ,36120
RQ2  ,0,1,1,RQ2-10  ,37152
RQ2  ,1,1,1,RQ2-11  ,38184
RQ2  ,2,1,1,RQ2-12  ,39216
RQ2  ,3,1,1,RQ2-13  ,40248
RQ2  ,0,2,1,RQ2-20  ,41280
RQ2  ,1,2,1,RQ2-21  ,42312
RQ2  ,2,2,1,RQ2-22  ,43344
RQ2  ,3,2,1,RQ2-23  ,44376
RQ2  ,0,3,1,RQ2-30  ,45408
RQ2  ,1,3,1,RQ2-31  ,46440
RQ2  ,2,3,1,RQ2-32  ,47472
RQ2  ,3,3,1,RQ2-33  ,48504
RQ3  ,0,0,1,RQ3-00  ,1032
RQ3  ,1,0,1,RQ3-01  ,220848
RQ3  ,2,0,1,RQ3-02  ,221880
RQ3  ,3,0,1,RQ3-03  ,222912
RQ3  ,0,1,1,RQ3-10  ,223944
RQ3  ,1,1,1,RQ3-11  ,224976
RQ3  ,2,1,1,RQ3-12  ,226008
RQ3  ,3,1,1,RQ3-13  ,227040
RQ3  ,0,2,1,RQ3-20  ,228072
RQ3  ,1,2,1,RQ3-21  ,229104
RQ3  ,2,2,1,RQ3-22  ,230136
RQ3  ,3,2,1,RQ3-23  ,231168
RQ4  ,0,0,1,RQ4-00  ,49536
RQ4  ,1,0,1,RQ4-01  ,50568
RQ4  ,2,0,1,RQ4-02  ,51600
RQ4  ,3,0,1,RQ4-03  ,52632
RQ4  ,0,1,1,RQ4-10  ,53664
RQ4  ,1,1,1,RQ4-11  ,54696
RQ4  ,2,1,1,RQ4-12  ,55728
RQ4  ,3,1,1,RQ4-13  ,56760
RQ4  ,0,2,1,RQ4-20  ,57792
RQ4  ,1,2,1,RQ4-21  ,58824
RQ4  ,2,2,1,RQ4-22  ,59856
RQ4  ,3,2,1,RQ4-23  ,60888
RQ4  ,0,3,1,RQ4-30  ,61920
RQ4  ,1,3,1,RQ4-31  ,62952
RQ4  ,2,3,1,RQ4-32  ,63984
RQ4  ,3,3,1,RQ4-33  ,65016
RT1  ,0,0,1,RT1-00  ,66048
RT1  ,1,0,1,RT1-01  ,67080
RT1  ,0,1,1,RT1-10  ,68112
RT1  ,1,1,1,RT1-11  ,69144
RT1  ,2,1,1,RT1-12  ,70176
RT1  ,0,2,1,RT1-20  ,71208
RT1  ,1,2,1,RT1-21  ,72240
RT1  ,2,2,1,RT1-22  ,73272
RT2  ,0,0,1,RT2-00  ,74304
RT2  ,1,0,1,RT2-01  ,75336
RT2  ,2,0,1,RT2-02  ,76368
RT2  ,0,1,1,RT2-10  ,77400
RT2  ,1,1,1,RT2-11  ,78432
RT2  ,2,1,1,RT2-12  ,79464
RT2  ,0,2,1,RT2-20  ,80496
RT2  ,1,2,1,RT2-21  ,81528
RT2  ,2,2,1,RT2-22  ,82560
RT3  ,0,0,1,RT3-00  ,83592
RT3  ,1,0,1,RT3-01  ,84624
RT3  ,2,0,1,RT3-02  ,85656
RT3  ,0,1,1,RT3-10  ,86688
RT3  ,1,1,1,RT3-11  ,87720
RT3  ,2,1,1,RT3-12  ,88752
RT3  ,0,2,1,RT3-20  ,89784
RT3  ,1,2,1,RT3-21  ,90816
RT3  ,2,2,1,RT3-22  ,91848
RT4  ,0,0,1,RT4-00  ,92880
RT4  ,1,0,1,RT4-01  ,93912
RT4  ,2,0,1,RT4-02  ,94944
RT4  ,0,1,1,RT4-10  ,95976
RT4  ,1,1,1,RT4-11  ,97008
RT4  ,2,1,1,RT4-12  ,98040
RT4  ,0,2,1,RT4-20  ,99072
RT4  ,1,2,1,RT4-21  ,100104
RT4  ,2,2,1,RT4-22  ,101136
RT5  ,0,0,1,RT5-00  ,102168
RT5  ,1,0,1,RT5-01  ,103200
RT5  ,2,0,1,RT5-02  ,104232
RT5  ,0,1,1,RT5-10  ,105264
RT5  ,1,1,1,RT5-11  ,106296
RT5  ,2,1,1,RT5-12  ,107328
RT5  ,0,2,1,RT5-20  ,108360
RT5  ,1,2,1,RT5-21  ,109392
RT5  ,2,2,1,RT5-22  ,110424
RT6  ,0,0,1,RT6-00  ,111456
RT6  ,1,0,1,RT6-01  ,112488
RT6  ,2,0,1,RT6-02  ,113520
RT6  ,0,1,1,RT6-10  ,114552
RT6  ,1,1,1,RT6-11  ,115584
RT6  ,2,1,1,RT6-12  ,116616
RT6  ,0,2,1,RT6-20  ,117648
RT6  ,1,2,1,RT6-21  ,118680
RT6  ,2,2,1,RT6-22  ,119712
RT7  ,0,0,1,RT7-00  ,120744
RT7  ,1,0,1,RT7-01  ,121776
RT7  ,2,0,1,RT7-02  ,122808
RT7  ,0,1,1,RT7-10  ,123840
RT7  ,1,1,1,RT7-11  ,124872
RT7  ,2,1,1,RT7-12  ,125904
RT7  ,0,2,1,RT7-20  ,126936
RT7  ,1,2,1,RT7-21  ,127968
RT7  ,2,2,1,RT7-22  ,129000
