FIRM,RACE,MODE,FRAME,LOC_WIDTH,LOC_HEIGHT,LAYER,OFFSET_X,OFFSET_Y,DELAY,FILENAME,BITMAPPTR
BASE    ,INDIAN  ,U,1,4,4,1,14,44,0,IN_U1   ,880837
BASE    ,INDIAN  ,U,2,4,4,1,-3,9,0,IN_U2   ,886875
BASE    ,INDIAN  ,U,3,4,4,1,-5,3,0,IN_U3   ,896342
BASE    ,INDIAN  ,A,1,4,4,1,-6,-11,0,IN_BASE ,868622
BASE    ,INDIAN  ,G,1,4,4,4,-2,71,0,IN_DIRT ,851594
BASE    ,ZULU    ,U,1,4,4,1,7,39,0,ZU_U1   ,918627
BASE    ,ZULU    ,U,2,4,4,1,-7,21,0,ZU_U2   ,924968
BASE    ,ZULU    ,U,3,4,4,1,-7,13,0,ZU_U3   ,935273
BASE    ,ZULU    ,A,1,4,4,1,-8,7,0,ZU_BASE ,907642
BASE    ,ZULU    ,G,1,4,4,4,-7,43,0,ZU_DIRT ,864750
CAMP    ,        ,U,1,3,3,1,-2,30,0,CAMP_U1 ,669689
CAMP    ,        ,U,2,3,3,1,-2,23,0,CAMP_U2 ,673088
CAMP    ,        ,U,3,3,3,1,-2,12,0,CAMP_U3 ,677416
CAMP    ,        ,A,1,3,3,1,-6,6,0,CAMP_A  ,274407
CAMP    ,        ,G,1,3,3,4,54,75,0,CAMP_DIR,280149
FACTORY ,        ,U,1,3,3,1,2,30,0,FACT_U1 ,682486
FACTORY ,        ,U,2,3,3,1,-3,24,0,FACT_U2 ,685904
FACTORY ,        ,U,3,3,3,1,-2,6,0,FACT_U3 ,691003
FACTORY ,        ,I,1,3,3,1,-7,3,0,FACT_A0 ,121241
FACTORY ,        ,A,0,3,3,1,-7,3,2,FACT_A0 ,121241
FACTORY ,        ,A,1,3,3,1,13,-2,2,FACT_A1 ,128111
FACTORY ,        ,A,2,3,3,1,10,-2,2,FACT_A2 ,129373
FACTORY ,        ,A,3,3,3,1,0,-11,2,FACT_A3 ,130846
FACTORY ,        ,A,4,3,3,1,-15,-8,2,FACT_A4 ,132527
FACTORY ,        ,A,5,3,3,1,-20,-10,2,FACT_A5 ,467390
FACTORY ,        ,A,6,3,3,1,-25,-9,2,FACT_A6 ,469030
FACTORY ,        ,A,7,3,3,1,34,40,2,FACT_A7 ,470385
FACTORY ,        ,A,8,3,3,1,34,40,2,FACT_A8 ,471345
FACTORY ,        ,G,1,3,3,4,8,64,0,FACT_DIR,280567
FARM    ,        ,U,0,3,3,1,-4,5,0,FARM_U  ,134602
FARM    ,        ,A,0,3,3,1,67,31,0,FARM_A01,139940
FARM    ,        ,A,0,3,3,1,-2,71,0,FARM_A02,140710
FARM    ,        ,A,1,3,3,1,-4,5,2,FARM_A11,142368
FARM    ,        ,A,2,3,3,1,-2,5,2,FARM_A21,145475
FARM    ,        ,A,3,3,3,1,-6,1,2,FARM_A31,148666
FARM    ,        ,A,4,3,3,1,-7,-2,2,FARM_A41,151941
FARM    ,        ,A,5,3,3,1,-7,0,2,FARM_A51,155193
FARM    ,        ,A,6,3,3,1,-6,2,2,FARM_A61,158393
INN     ,        ,U,1,3,3,1,4,37,0,INN_U1  ,706288
INN     ,        ,U,2,3,3,1,1,20,0,INN_U2  ,697297
INN     ,        ,U,3,3,3,1,9,8,0,INN_U3  ,701331
INN     ,        ,A,1,3,3,1,8,-3,0,INN     ,161520
MARKET  ,        ,U,1,3,3,1,15,16,0,MARK_U1 ,709738
MARKET  ,        ,U,2,3,3,1,10,19,0,MARK_U2 ,711983
MARKET  ,        ,U,3,3,3,1,11,8,0,MARK_U3 ,714092
MARKET  ,        ,A,1,3,3,1,-3,7,0,MARK_A  ,118306
MARKET  ,        ,G,1,3,3,4,0,6,0,MARK_DIR,281806
MINE    ,        ,U,1,3,3,1,2,15,0,MINE_U1 ,716362
MINE    ,        ,U,2,3,3,1,1,14,0,MINE_U2 ,721953
MINE    ,        ,U,3,3,3,1,0,8,0,MINE_U3 ,728289
MINE    ,        ,A,1,3,3,1,0,8,10,MINE_A1 ,166742
MINE    ,        ,A,2,3,3,1,0,8,10,MINE_A2 ,173578
RESEARCH,        ,U,1,2,3,1,-12,45,0,RESE_U1 ,735202
RESEARCH,        ,U,2,2,3,1,-7,35,0,RESE_U2 ,738748
RESEARCH,        ,U,3,2,3,1,-6,17,0,RESE_U3 ,742123
RESEARCH,        ,I,0,2,3,1,-8,1,0,RESE_I  ,746130
RESEARCH,        ,A,0,2,3,1,-1,67,2,RESE_A0 ,184874
RESEARCH,        ,A,1,2,3,1,-8,1,2,RESE_A1 ,186389
RESEARCH,        ,A,2,2,3,1,-5,0,2,RESE_A2 ,189148
RESEARCH,        ,A,3,2,3,1,-4,0,2,RESE_A3 ,191669
RESEARCH,        ,A,4,2,3,1,-2,0,2,RESE_A4 ,193985
RESEARCH,        ,A,5,2,3,1,-4,0,2,RESE_A5 ,196214
RESEARCH,        ,A,6,2,3,1,-7,1,2,RESE_A6 ,198587
RESEARCH,        ,A,7,2,3,1,-9,1,2,RESE_A7 ,201220
RESEARCH,        ,A,8,2,3,1,-9,2,2,RESE_A8 ,204051
RESEARCH,        ,A,9,2,3,1,-8,1,2,RESE_A9 ,207021
RESEARCH,        ,A,10,2,3,1,-8,1,2,RESE_A10,209948
WAR     ,        ,U,1,3,3,1,-3,42,0,WARF_U1 ,750590
WAR     ,        ,U,2,3,3,1,1,24,0,WARF_U2 ,754158
WAR     ,        ,U,3,3,3,1,1,15,0,WARF_U3 ,758835
WAR     ,        ,I,1,3,3,1,0,0,2,WARF_A1 ,218955
WAR     ,        ,A,1,3,3,1,0,0,2,WARF_A2 ,225036
WAR     ,        ,A,2,3,3,1,0,0,2,WARF_A3 ,231117
WAR     ,        ,A,3,3,3,1,0,0,2,WARF_A4 ,237198
WAR     ,        ,A,4,3,3,1,1,0,2,WARF_A5 ,212875
WAR     ,        ,G,1,3,3,4,-4,86,0,WARF_DIR,281413
HARBOR  ,N       ,U,1,3,3,4,1,10,0,HARN_U1 ,797347
HARBOR  ,N       ,U,2,3,3,4,0,5,0,HARN_U2 ,772935
HARBOR  ,N       ,U,3,3,3,4,0,0,0,HARN_U3 ,799811
HARBOR  ,N       ,A,0,3,3,4,1,0,0,HARN_A0 ,443903
HARBOR  ,N       ,A,1,3,3,4,21,-11,2,HARN_A1 ,441414
HARBOR  ,N       ,A,2,3,3,4,21,-11,2,HARN_A2 ,441754
HARBOR  ,N       ,A,3,3,3,4,21,-11,2,HARN_A3 ,465917
HARBOR  ,E       ,U,1,3,3,4,1,4,0,HARE_U1 ,764434
HARBOR  ,E       ,U,2,3,3,4,-2,4,0,HARE_U2 ,792079
HARBOR  ,E       ,U,3,3,3,4,-1,3,0,HARE_U3 ,767136
HARBOR  ,E       ,A,0,3,3,4,-1,8,0,HARE_A0 ,449604
HARBOR  ,E       ,A,1,3,3,4,81,2,2,HARE_A1 ,443562
HARBOR  ,E       ,A,2,3,3,4,81,5,2,HARE_A2 ,441047
HARBOR  ,E       ,A,3,3,3,4,80,5,2,HARE_A3 ,466662
HARBOR  ,S       ,U,1,3,3,4,1,-2,0,HARS_U1 ,778488
HARBOR  ,S       ,U,2,3,3,4,1,-2,0,HARS_U2 ,805777
HARBOR  ,S       ,U,3,3,3,4,1,-2,0,HARS_U3 ,781007
HARBOR  ,S       ,A,0,3,3,4,1,5,0,HARS_A0 ,455047
HARBOR  ,S       ,A,1,3,3,4,20,58,2,HARS_A1 ,442122
HARBOR  ,S       ,A,2,3,3,4,20,59,2,HARS_A2 ,442480
HARBOR  ,S       ,A,3,3,3,4,19,59,2,HARS_A3 ,466285
HARBOR  ,W       ,U,1,3,3,4,18,4,0,HARW_U1 ,810979
HARBOR  ,W       ,U,2,3,3,4,-2,4,0,HARW_U2 ,786817
HARBOR  ,W       ,U,3,3,3,4,-2,3,0,HARW_U3 ,813662
HARBOR  ,W       ,A,0,3,3,4,-2,9,0,HARW_A0 ,460642
HARBOR  ,W       ,A,1,3,3,4,1,2,2,HARW_A1 ,442857
HARBOR  ,W       ,A,2,3,3,4,1,5,2,HARW_A2 ,443195
HARBOR  ,W       ,A,3,3,3,4,0,5,2,HARW_A3 ,467026
GUARD   ,        ,A,0,2,3,1,-10,4,3,MAGI_A0 ,265821
GUARD   ,        ,A,1,2,3,1,16,11,3,MAGI_A1 ,269982
GUARD   ,        ,A,2,2,3,1,16,11,3,MAGI_A2 ,270867
GUARD   ,        ,A,3,2,3,1,16,11,3,MAGI_A3 ,271752
GUARD   ,        ,A,4,2,3,1,16,11,3,MAGI_A4 ,272637
GUARD   ,        ,A,5,2,3,1,16,11,3,MAGI_A5 ,273522
GUARD   ,        ,A,6,2,3,1,16,11,3,MAGI_A4 ,272637
GUARD   ,        ,A,7,2,3,1,16,11,3,MAGI_A3 ,271752
GUARD   ,        ,A,8,2,3,1,16,11,3,MAGI_A2 ,270867
MONSTER ,SKELETON,A,1,4,4,1,-9,-10,0,SKU_BAS ,307471
MONSTER ,SKELETON,G,1,4,4,4,-1,69,0,SKU_DIR ,420743
MONSTER ,LYW     ,A,1,4,4,1,-13,4,0,LYW_BAS ,358008
MONSTER ,LYW     ,G,1,4,4,4,-6,42,0,LYW_DIR ,293198
MONSTER ,HOBGLOB ,A,1,4,4,1,-4,2,0,HOB_BAS ,509610
MONSTER ,HOBGLOB ,G,1,4,4,4,-5,61,0,HOB_DIR ,486303
MONSTER ,GIANTET ,A,1,4,4,1,3,-2,0,GIA_BAS ,430701
MONSTER ,GIANTET ,G,1,4,4,4,-10,54,0,GIA_DIR ,288830
MONSTER ,GITH    ,A,1,4,4,1,-16,6,0,GIT_BAS ,334572
MONSTER ,GITH    ,G,1,4,4,4,-22,46,0,GIT_DIR ,367352
MONSTER ,ROCKMAN ,A,1,4,4,1,-6,6,0,ROC_BAS ,384321
MONSTER ,ROCKMAN ,G,1,4,4,4,-12,54,0,ROC_DIR ,417455
MONSTER ,GREMJERM,A,1,4,4,1,-5,10,0,GRE_BAS ,491857
MONSTER ,GREMJERM,G,1,4,4,4,3,38,0,GRE_DIR ,481958
MONSTER ,FIREKIN ,A,1,4,4,1,-1,0,0,FIR_BAS ,298013
MONSTER ,FIREKIN ,G,1,4,4,4,-17,55,0,FIR_DIR ,424822
MONSTER ,GNOLL   ,A,1,4,4,1,-19,1,0,GNO_BAS ,345088
MONSTER ,GNOLL   ,G,1,4,4,4,-20,38,0,GNO_DIR ,396234
MONSTER ,GOBLIN  ,A,1,4,4,1,4,17,0,GOB_BAS ,318697
MONSTER ,GOBLIN  ,G,1,4,4,4,6,71,0,GOB_DIR ,402502
MONSTER ,LIZARD  ,A,1,4,4,1,-3,20,0,LIZ_BAS ,326876
MONSTER ,LIZARD  ,G,1,4,4,4,-1,47,0,LIZ_DIR ,411652
MONSTER ,MAN     ,A,1,4,4,1,-26,-2,0,MAN_BAS ,372619
MONSTER ,MAN     ,G,1,4,4,4,-15,68,0,MAN_DIR ,414716
MONSTER ,HEADLESS,A,1,4,4,1,1,-2,0,SKE_BAS ,500427
MONSTER ,HEADLESS,G,1,4,4,4,9,75,0,SKE_DIR ,489172
