NW_TYPE,NE_TYPE,SW_TYPE,SE_TYPE,EXTRA,SPECIAL,REP_TYPE,SEC_TYPE,PATTERN_ID,FILENAME,BITMAPPTR
D-,D-,D-,D-, , ,D,D,0,DD-088A ,564504
D-,D-,D-,D-, , ,D,D,0,DD-088B ,565536
D-,D-,D-,D-, , ,D,D,0,DD-088C ,566568
D-,D-,D-,D-, , ,D,D,0,DD-088D ,567600
D-,D-,D-,D-, , ,D,D,0,DD-088E ,568632
D-,D-,D-,D0, , ,D,D,0,DD-068  ,545928
D-,D-,D0,D+, , ,D,D,0,DD-018  ,499488
D-,D-,D0,D-, , ,D,D,0,DD-028  ,508776
D-,D-,D0,D0, , ,D,D,0,DD-008  ,490200
D-,D-,F*,F*, , ,F,D,11,FD-011  ,231168
D-,D-,F*,F*, , ,F,D,11,FD-011A ,232200
D-,D0,D+,D+, , ,D,D,0,DD-046  ,525288
D-,D0,D+,D-, , ,D,D,0,DD-056  ,534576
D-,D0,D+,D0, , ,D,D,0,DD-036  ,516000
D-,D0,D-,D+, , ,D,D,0,DD-076  ,553152
D-,D0,D-,D-, , ,D,D,0,DD-086  ,562440
D-,D0,D-,D0, , ,D,D,0,DD-066  ,543864
D-,D0,D0,D+, , ,D,D,0,DD-016  ,497424
D-,D0,D0,D-, , ,D,D,0,DD-026  ,506712
D-,D0,D0,D0, , ,D,D,0,DD-006  ,488136
D-,DA,F*,F+, , ,F,D,19,FD-019  ,247680
D-,DA,F*,F+, , ,F,D,19,FD-019A ,248712
D-,DA,F*,FB, , ,F,D,11,FD-011  ,231168
D-,DA,F*,FB, , ,F,D,11,FD-011A ,232200
D-,F*,D*,D-, , ,F,D,26,FD-026  ,275544
D-,F*,D-,F*, , ,F,D,10,FD-010  ,229104
D-,F*,D-,F*, , ,F,D,10,FD-010A ,230136
D-,F*,DA,F+, , ,F,D,18,FD-018  ,245616
D-,F*,DA,F+, , ,F,D,18,FD-018A ,246648
D-,F*,DA,FB, , ,F,D,10,FD-010  ,229104
D-,F*,DA,FB, , ,F,D,10,FD-010A ,230136
D-,F*,F*,F*, , ,F,D,4,FD-004  ,221880
D-,F+,D*,DA, , ,D,F,34,FD-034  ,283800
D-,F+,F+,D-, , ,F,D,50,FD-050  ,273480
D-,F+,F+,DA, , ,F,D,64,FD-064  ,300312
D-,F+,F+,DA, , ,F,D,68,FD-068  ,304440
D-,F+,FB,D-, , ,F,D,50,FD-050  ,273480
D-,F+,FB,DA, , ,F,D,54,FD-054  ,289992
D-,FB,F+,D-, , ,F,D,50,FD-050  ,273480
D-,FB,F+,DA, , ,F,D,70,FD-070  ,306504
D0,D+,D+,D+, , ,D,D,0,DD-041  ,520128
D0,D+,D+,D-, , ,D,D,0,DD-051  ,529416
D0,D+,D+,D0, , ,D,D,0,DD-031  ,510840
D0,D+,D-,D+, , ,D,D,0,DD-071  ,547992
D0,D+,D-,D-, , ,D,D,0,DD-081  ,557280
D0,D+,D-,D0, , ,D,D,0,DD-061  ,538704
D0,D+,D0,D+, , ,D,D,0,DD-011  ,492264
D0,D+,D0,D-, , ,D,D,0,DD-021  ,501552
D0,D+,D0,D0, , ,D,D,0,DD-001  ,482976
D0,D-,D+,D+, , ,D,D,0,DD-042  ,521160
D0,D-,D+,D-, , ,D,D,0,DD-052  ,530448
D0,D-,D+,D0, , ,D,D,0,DD-032  ,511872
D0,D-,D-,D+, , ,D,D,0,DD-072  ,549024
D0,D-,D-,D-, , ,D,D,0,DD-082  ,558312
D0,D-,D-,D0, , ,D,D,0,DD-062  ,539736
D0,D-,D0,D+, , ,D,D,0,DD-012  ,493296
D0,D-,D0,D-, , ,D,D,0,DD-022  ,502584
D0,D-,D0,D0, , ,D,D,0,DD-002  ,484008
D0,D0,D+,D+, , ,D,D,0,DD-040  ,519096
D0,D0,D+,D-, , ,D,D,0,DD-050  ,528384
D0,D0,D+,D0, , ,D,D,0,DD-030  ,509808
D0,D0,D-,D+, , ,D,D,0,DD-070  ,546960
D0,D0,D-,D-, , ,D,D,0,DD-080  ,556248
D0,D0,D-,D0, , ,D,D,0,DD-060  ,537672
D0,D0,D0,D+, , ,D,D,0,DD-010  ,491232
D0,D0,D0,D-, , ,D,D,0,DD-020  ,500520
D0,D0,D0,D0, , ,D,D,0,DD-000A ,481944
D0,D0,D0,D0, , ,D,D,0,DD-000B ,569664
D0,D0,D0,D0, , ,D,D,0,DD-000C ,570696
D0,D0,D0,D0, , ,D,D,0,DD-000D ,571728
D0,D0,D0,D0, , ,D,D,0,DD-000E ,572760
DA,D*,F+,D-, , ,D,F,31,FD-031  ,280704
DA,D*,F+,DA, , ,D,F,39,FD-039  ,262128
DA,D-,F+,F*, , ,F,D,23,FD-023  ,255936
DA,D-,F+,F*, , ,F,D,23,FD-023A ,256968
DA,D-,FB,F*, , ,F,D,11,FD-011  ,231168
DA,D-,FB,F*, , ,F,D,11,FD-011A ,232200
DA,DA,F+,F+, , ,D,F,15,FD-015  ,239424
DA,DA,F+,F+, , ,D,F,15,FD-015A ,240456
DA,DA,F+,F+, ,A,D,F,15,FD-A15  ,319920
DA,DA,F+,FB, , ,F,D,23,FD-023  ,255936
DA,DA,F+,FB, , ,F,D,23,FD-023A ,256968
DA,DA,FB,F+, , ,F,D,19,FD-019  ,247680
DA,DA,FB,F+, , ,F,D,19,FD-019A ,248712
DA,DA,FB,FB, , ,F,D,11,FD-011  ,231168
DA,DA,FB,FB, , ,F,D,11,FD-011A ,232200
DA,F+,D*,D-, , ,D,F,30,FD-030  ,279672
DA,F+,D*,DA, , ,D,F,38,FD-038  ,261096
DA,F+,D-,F*, , ,F,D,22,FD-022  ,253872
DA,F+,D-,F*, , ,F,D,22,FD-022A ,254904
DA,F+,DA,F+, , ,D,F,14,FD-014  ,237360
DA,F+,DA,F+, , ,D,F,14,FD-014A ,238392
DA,F+,DA,F+, ,K,D,F,14,FD-K14  ,323016
DA,F+,DA,FB, , ,F,D,22,FD-022  ,253872
DA,F+,DA,FB, , ,F,D,22,FD-022A ,254904
DA,F+,F+,D-, , ,F,D,60,FD-060  ,296184
DA,F+,F+,DA, , ,D,F,66,FD-066  ,302376
DA,F+,F+,F*, , ,F,D,8,FD-008  ,226008
DA,F+,FB,D-, , ,F,D,52,FD-052  ,287928
DA,F+,FB,DA, , ,F,D,56,FD-056  ,292056
DA,F+,FB,F*, , ,F,D,44,FD-044  ,267288
DA,FB,D-,F*, , ,F,D,10,FD-010  ,229104
DA,FB,D-,F*, , ,F,D,10,FD-010A ,230136
DA,FB,DA,F+, , ,F,D,18,FD-018  ,245616
DA,FB,DA,F+, , ,F,D,18,FD-018A ,246648
DA,FB,DA,FB, , ,F,D,10,FD-010  ,229104
DA,FB,DA,FB, , ,F,D,10,FD-010A ,230136
DA,FB,F+,D-, , ,F,D,58,FD-058  ,294120
DA,FB,F+,DA, , ,F,D,62,FD-062  ,298248
DA,FB,F+,F*, , ,F,D,48,FD-048  ,271416
DA,FB,FB,F*, , ,F,D,4,FD-004  ,221880
F*,D-,F*,D-, , ,F,D,9,FD-009  ,227040
F*,D-,F*,D-, , ,F,D,9,FD-009A ,228072
F*,D-,F*,F*, , ,F,D,3,FD-003  ,220848
F*,D-,F+,DA, , ,F,D,17,FD-017  ,243552
F*,D-,F+,DA, , ,F,D,17,FD-017A ,244584
F*,D-,FB,DA, , ,F,D,9,FD-009  ,227040
F*,D-,FB,DA, , ,F,D,9,FD-009A ,228072
F*,F*,D-,D-, , ,F,D,12,FD-012  ,233232
F*,F*,D-,D-, , ,F,D,12,FD-012A ,234264
F*,F*,D-,F*, , ,F,D,2,FD-002  ,219816
F*,F*,F*,D-, , ,F,D,1,FD-001  ,218784
F*,F*,F*,GB, , ,G,F,28,GF-028  ,183696
F*,F*,GB,F*, , ,G,F,27,GF-027  ,182664
F*,F+,D-,DA, , ,F,D,24,FD-024  ,258000
F*,F+,D-,DA, , ,F,D,24,FD-024A ,259032
F*,F+,F+,DA, , ,F,D,5,FD-005  ,222912
F*,F+,FB,DA, , ,F,D,45,FD-045  ,268320
F*,F-,F-,G+, , ,G,F,28,GF-028  ,183696
F*,F-,FA,G+, , ,F,G,36,GF-036  ,191952
F*,FA,F-,G+, , ,F,G,32,GF-032  ,187824
F*,FA,FA,G+, , ,F,G,40,GF-040  ,169248
F*,FB,D-,DA, , ,F,D,12,FD-012  ,233232
F*,FB,D-,DA, , ,F,D,12,FD-012A ,234264
F*,FB,F+,DA, , ,F,D,41,FD-041  ,264192
F*,FB,FB,DA, , ,F,D,1,FD-001  ,218784
F*,GB,F*,F*, , ,G,F,26,GF-026  ,181632
F*,GB,GB,F*, , ,G,F,50,GF-050  ,179568
F+,D-,D-,D*, , ,F,D,25,FD-025  ,274512
F+,D-,D-,F+, , ,F,D,49,FD-049  ,272448
F+,D-,D-,FB, , ,F,D,49,FD-049  ,272448
F+,D-,DA,D*, , ,D,F,33,FD-033  ,282768
F+,D-,DA,F+, , ,F,D,63,FD-063  ,299280
F+,D-,DA,F+, , ,F,D,67,FD-067  ,303408
F+,D-,DA,FB, , ,F,D,53,FD-053  ,288960
F+,DA,D-,D*, , ,D,F,29,FD-029  ,278640
F+,DA,D-,F+, , ,F,D,59,FD-059  ,295152
F+,DA,D-,FB, , ,F,D,51,FD-051  ,286896
F+,DA,DA,D*, , ,D,F,37,FD-037  ,260064
F+,DA,DA,F+, , ,D,F,65,FD-065  ,301344
F+,DA,DA,FB, , ,F,D,55,FD-055  ,291024
F+,DA,F*,D-, , ,F,D,21,FD-021  ,251808
F+,DA,F*,D-, , ,F,D,21,FD-021A ,252840
F+,DA,F*,F+, , ,F,D,7,FD-007  ,224976
F+,DA,F*,FB, , ,F,D,43,FD-043  ,266256
F+,DA,F+,DA, , ,D,F,13,FD-013  ,235296
F+,DA,F+,DA, , ,D,F,13,FD-013A ,236328
F+,DA,F+,DA, ,H,D,F,13,FD-H13  ,321984
F+,DA,FB,DA, , ,F,D,21,FD-021  ,251808
F+,DA,FB,DA, , ,F,D,21,FD-021A ,252840
F+,F*,DA,D-, , ,F,D,20,FD-020  ,249744
F+,F*,DA,D-, , ,F,D,20,FD-020A ,250776
F+,F*,DA,F+, , ,F,D,6,FD-006  ,223944
F+,F*,DA,FB, , ,F,D,46,FD-046  ,269352
F+,F+,DA,DA, , ,D,F,16,FD-016  ,241488
F+,F+,DA,DA, , ,D,F,16,FD-016A ,242520
F+,F+,DA,DA, ,F,D,F,16,FD-F16  ,320952
F+,F+,F+,F+, , ,F,F,0,FF-044A ,427248
F+,F+,F+,F+, , ,F,F,0,FF-044B ,477816
F+,F+,F+,F+, , ,F,F,0,FF-044C ,478848
F+,F+,F+,F+, , ,F,F,0,FF-044D ,479880
F+,F+,F+,F+, , ,F,F,0,FF-044E ,480912
F+,F+,F+,F-, , ,F,F,0,FF-054  ,436536
F+,F+,F+,F0, , ,F,F,0,FF-034  ,417960
F+,F+,F-,F+, , ,F,F,0,FF-074  ,455112
F+,F+,F-,F-, , ,F,F,0,FF-084  ,464400
F+,F+,F-,F0, , ,F,F,0,FF-064  ,445824
F+,F+,F0,F+, , ,F,F,0,FF-014  ,399384
F+,F+,F0,F-, , ,F,F,0,FF-024  ,408672
F+,F+,F0,F0, , ,F,F,0,FF-004  ,390096
F+,F-,F+,F+, , ,F,F,0,FF-045  ,428280
F+,F-,F+,F-, , ,F,F,0,FF-055  ,437568
F+,F-,F+,F0, , ,F,F,0,FF-035  ,418992
F+,F-,F-,F+, , ,F,F,0,FF-075  ,456144
F+,F-,F-,F-, , ,F,F,0,FF-085  ,465432
F+,F-,F-,F0, , ,F,F,0,FF-065  ,446856
F+,F-,F0,F+, , ,F,F,0,FF-015  ,400416
F+,F-,F0,F-, , ,F,F,0,FF-025  ,409704
F+,F-,F0,F0, , ,F,F,0,FF-005  ,391128
F+,F0,F+,F+, , ,F,F,0,FF-043  ,426216
F+,F0,F+,F-, , ,F,F,0,FF-053  ,435504
F+,F0,F+,F0, , ,F,F,0,FF-033  ,416928
F+,F0,F-,F+, , ,F,F,0,FF-073  ,454080
F+,F0,F-,F-, , ,F,F,0,FF-083  ,463368
F+,F0,F-,F0, , ,F,F,0,FF-063  ,444792
F+,F0,F0,F+, , ,F,F,0,FF-013  ,398352
F+,F0,F0,F-, , ,F,F,0,FF-023  ,407640
F+,F0,F0,F0, , ,F,F,0,FF-003  ,389064
F+,FB,DA,DA, , ,F,D,20,FD-020  ,249744
F+,FB,DA,DA, , ,F,D,20,FD-020A ,250776
F-,F*,G+,F-, , ,G,F,27,GF-027  ,182664
F-,F*,G+,FA, , ,F,G,35,GF-035  ,190920
F-,F+,F+,F+, , ,F,F,0,FF-047  ,430344
F-,F+,F+,F-, , ,F,F,0,FF-057  ,439632
F-,F+,F+,F0, , ,F,F,0,FF-037  ,421056
F-,F+,F-,F+, , ,F,F,0,FF-077  ,458208
F-,F+,F-,F-, , ,F,F,0,FF-087  ,467496
F-,F+,F-,F0, , ,F,F,0,FF-067  ,448920
F-,F+,F0,F+, , ,F,F,0,FF-017  ,402480
F-,F+,F0,F-, , ,F,F,0,FF-027  ,411768
F-,F+,F0,F0, , ,F,F,0,FF-007  ,393192
F-,F-,F+,F+, , ,F,F,0,FF-048  ,431376
F-,F-,F+,F-, , ,F,F,0,FF-058  ,440664
F-,F-,F+,F0, , ,F,F,0,FF-038  ,422088
F-,F-,F-,F+, , ,F,F,0,FF-078  ,459240
F-,F-,F-,F-, , ,F,F,0,FF-088A ,468528
F-,F-,F-,F-, , ,F,F,0,FF-088B ,469560
F-,F-,F-,F-, , ,F,F,0,FF-088C ,470592
F-,F-,F-,F-, , ,F,F,0,FF-088D ,471624
F-,F-,F-,F-, , ,F,F,0,FF-088E ,472656
F-,F-,F-,F0, , ,F,F,0,FF-068  ,449952
F-,F-,F0,F+, , ,F,F,0,FF-018  ,403512
F-,F-,F0,F-, , ,F,F,0,FF-028  ,412800
F-,F-,F0,F0, , ,F,F,0,FF-008  ,394224
F-,F-,G*,G*, , ,G,F,11,GF-011  ,137256
F-,F-,G*,G*, , ,G,F,11,GF-011A ,138288
F-,F0,F+,F+, , ,F,F,0,FF-046  ,429312
F-,F0,F+,F-, , ,F,F,0,FF-056  ,438600
F-,F0,F+,F0, , ,F,F,0,FF-036  ,420024
F-,F0,F-,F+, , ,F,F,0,FF-076  ,457176
F-,F0,F-,F-, , ,F,F,0,FF-086  ,466464
F-,F0,F-,F0, , ,F,F,0,FF-066  ,447888
F-,F0,F0,F+, , ,F,F,0,FF-016  ,401448
F-,F0,F0,F-, , ,F,F,0,FF-026  ,410736
F-,F0,F0,F0, , ,F,F,0,FF-006  ,392160
F-,FA,G*,G+, , ,G,F,19,GF-019  ,153768
F-,FA,G*,G+, , ,G,F,19,GF-019A ,154800
F-,FA,G*,GB, , ,G,F,11,GF-011  ,137256
F-,FA,G*,GB, , ,G,F,11,GF-011A ,138288
F-,G*,F*,F-, , ,G,F,26,GF-026  ,181632
F-,G*,F-,G*, , ,G,F,10,GF-010  ,135192
F-,G*,F-,G*, , ,G,F,10,GF-010A ,136224
F-,G*,FA,G+, , ,G,F,18,GF-018  ,151704
F-,G*,FA,G+, , ,G,F,18,GF-018A ,152736
F-,G*,FA,GB, , ,G,F,10,GF-010  ,135192
F-,G*,FA,GB, , ,G,F,10,GF-010A ,136224
F-,G*,G*,G*, , ,G,F,4,GF-004  ,127968
F-,G+,F*,FA, , ,F,G,34,GF-034  ,189888
F-,G+,G+,F-, , ,G,F,50,GF-050  ,179568
F-,G+,G+,FA, , ,G,F,64,GF-064  ,206400
F-,G+,G+,FA, , ,G,F,68,GF-068  ,210528
F-,G+,GB,F-, , ,G,F,50,GF-050  ,179568
F-,G+,GB,FA, , ,G,F,54,GF-054  ,196080
F-,GB,G+,F-, , ,G,F,50,GF-050  ,179568
F-,GB,G+,FA, , ,G,F,70,GF-070  ,212592
F0,F+,F+,F+, , ,F,F,0,FF-041  ,424152
F0,F+,F+,F-, , ,F,F,0,FF-051  ,433440
F0,F+,F+,F0, , ,F,F,0,FF-031  ,414864
F0,F+,F-,F+, , ,F,F,0,FF-071  ,452016
F0,F+,F-,F-, , ,F,F,0,FF-081  ,461304
F0,F+,F-,F0, , ,F,F,0,FF-061  ,442728
F0,F+,F0,F+, , ,F,F,0,FF-011  ,396288
F0,F+,F0,F-, , ,F,F,0,FF-021  ,405576
F0,F+,F0,F0, , ,F,F,0,FF-001  ,387000
F0,F-,F+,F+, , ,F,F,0,FF-042  ,425184
F0,F-,F+,F-, , ,F,F,0,FF-052  ,434472
F0,F-,F+,F0, , ,F,F,0,FF-032  ,415896
F0,F-,F-,F+, , ,F,F,0,FF-072  ,453048
F0,F-,F-,F-, , ,F,F,0,FF-082  ,462336
F0,F-,F-,F0, , ,F,F,0,FF-062  ,443760
F0,F-,F0,F+, , ,F,F,0,FF-012  ,397320
F0,F-,F0,F-, , ,F,F,0,FF-022  ,406608
F0,F-,F0,F0, , ,F,F,0,FF-002  ,388032
F0,F0,F+,F+, , ,F,F,0,FF-040  ,423120
F0,F0,F+,F-, , ,F,F,0,FF-050  ,432408
F0,F0,F+,F0, , ,F,F,0,FF-030  ,413832
F0,F0,F-,F+, , ,F,F,0,FF-070  ,450984
F0,F0,F-,F-, , ,F,F,0,FF-080  ,460272
F0,F0,F-,F0, , ,F,F,0,FF-060  ,441696
F0,F0,F0,F+, , ,F,F,0,FF-010  ,395256
F0,F0,F0,F-, , ,F,F,0,FF-020  ,404544
F0,F0,F0,F0, , ,F,F,0,FF-000A ,385968
F0,F0,F0,F0, , ,F,F,0,FF-000B ,473688
F0,F0,F0,F0, , ,F,F,0,FF-000C ,474720
F0,F0,F0,F0, , ,F,F,0,FF-000D ,475752
F0,F0,F0,F0, , ,F,F,0,FF-000E ,476784
FA,F*,G+,F-, , ,F,G,31,GF-031  ,186792
FA,F*,G+,FA, , ,F,G,39,GF-039  ,168216
FA,F-,G+,G*, , ,G,F,23,GF-023  ,162024
FA,F-,G+,G*, , ,G,F,23,GF-023A ,163056
FA,F-,GB,G*, , ,G,F,11,GF-011  ,137256
FA,F-,GB,G*, , ,G,F,11,GF-011A ,138288
FA,FA,G+,G+, , ,F,G,15,GF-015  ,145512
FA,FA,G+,G+, , ,F,G,15,GF-015A ,146544
FA,FA,G+,GB, , ,G,F,23,GF-023  ,162024
FA,FA,G+,GB, , ,G,F,23,GF-023A ,163056
FA,FA,GB,G+, , ,G,F,19,GF-019  ,153768
FA,FA,GB,G+, , ,G,F,19,GF-019A ,154800
FA,FA,GB,GB, , ,G,F,11,GF-011  ,137256
FA,FA,GB,GB, , ,G,F,11,GF-011A ,138288
FA,G+,F*,F-, , ,F,G,30,GF-030  ,185760
FA,G+,F*,FA, , ,F,G,38,GF-038  ,167184
FA,G+,F-,G*, , ,G,F,22,GF-022  ,159960
FA,G+,F-,G*, , ,G,F,22,GF-022A ,160992
FA,G+,FA,G+, , ,F,G,14,GF-014  ,143448
FA,G+,FA,G+, , ,F,G,14,GF-014A ,144480
FA,G+,FA,GB, , ,G,F,22,GF-022  ,159960
FA,G+,FA,GB, , ,G,F,22,GF-022A ,160992
FA,G+,G+,F-, , ,G,F,60,GF-060  ,202272
FA,G+,G+,FA, , ,F,G,66,GF-066  ,208464
FA,G+,G+,G*, , ,G,F,8,GF-008  ,132096
FA,G+,GB,F-, , ,G,F,52,GF-052  ,194016
FA,G+,GB,FA, , ,G,F,56,GF-056  ,198144
FA,G+,GB,G*, , ,G,F,44,GF-044  ,173376
FA,GB,F-,G*, , ,G,F,10,GF-010  ,135192
FA,GB,F-,G*, , ,G,F,10,GF-010A ,136224
FA,GB,FA,G+, , ,G,F,18,GF-018  ,151704
FA,GB,FA,G+, , ,G,F,18,GF-018A ,152736
FA,GB,FA,GB, , ,G,F,10,GF-010  ,135192
FA,GB,FA,GB, , ,G,F,10,GF-010A ,136224
FA,GB,G+,F-, , ,G,F,58,GF-058  ,200208
FA,GB,G+,FA, , ,G,F,62,GF-062  ,204336
FA,GB,G+,G*, , ,G,F,48,GF-048  ,177504
FA,GB,GB,G*, , ,G,F,4,GF-004  ,127968
FB,D*,D*,D*, , ,F,D,25,FD-025  ,274512
FB,D*,D*,FB, , ,F,D,49,FD-049  ,272448
FB,D-,D-,F+, , ,F,D,49,FD-049  ,272448
FB,D-,DA,F+, , ,F,D,69,FD-069  ,305472
FB,DA,D-,F+, , ,F,D,57,FD-057  ,293088
FB,DA,DA,F+, , ,F,D,61,FD-061  ,297216
FB,DA,F*,D-, , ,F,D,9,FD-009  ,227040
FB,DA,F*,D-, , ,F,D,9,FD-009A ,228072
FB,DA,F*,F+, , ,F,D,47,FD-047  ,270384
FB,DA,F*,FB, , ,F,D,3,FD-003  ,220848
FB,DA,F+,DA, , ,F,D,17,FD-017  ,243552
FB,DA,F+,DA, , ,F,D,17,FD-017A ,244584
FB,DA,FB,DA, , ,F,D,9,FD-009  ,227040
FB,DA,FB,DA, , ,F,D,9,FD-009A ,228072
FB,F*,DA,D-, , ,F,D,12,FD-012  ,233232
FB,F*,DA,D-, , ,F,D,12,FD-012A ,234264
FB,F*,DA,F+, , ,F,D,42,FD-042  ,265224
FB,F*,DA,FB, , ,F,D,2,FD-002  ,219816
FB,F+,DA,DA, , ,F,D,24,FD-024  ,258000
FB,F+,DA,DA, , ,F,D,24,FD-024A ,259032
FB,FB,DA,DA, , ,F,D,12,FD-012  ,233232
FB,FB,DA,DA, , ,F,D,12,FD-012A ,234264
G*,F-,G*,F-, , ,G,F,9,GF-009  ,133128
G*,F-,G*,F-, , ,G,F,9,GF-009A ,134160
G*,F-,G*,G*, , ,G,F,3,GF-003  ,126936
G*,F-,G+,FA, , ,G,F,17,GF-017  ,149640
G*,F-,G+,FA, , ,G,F,17,GF-017A ,150672
G*,F-,GB,FA, , ,G,F,9,GF-009  ,133128
G*,F-,GB,FA, , ,G,F,9,GF-009A ,134160
G*,G*,F-,F-, , ,G,F,12,GF-012  ,139320
G*,G*,F-,F-, , ,G,F,12,GF-012A ,140352
G*,G*,F-,G*, , ,G,F,2,GF-002  ,125904
G*,G*,G*,F-, , ,G,F,1,GF-001  ,124872
G*,G*,G*,SB, , ,S,G,28,SG-028  ,79464
G*,G*,SB,G*, , ,S,G,27,SG-027  ,78432
G*,G+,F-,FA, , ,G,F,24,GF-024  ,164088
G*,G+,F-,FA, , ,G,F,24,GF-024A ,165120
G*,G+,G+,FA, , ,G,F,5,GF-005  ,129000
G*,G+,GB,FA, , ,G,F,45,GF-045  ,174408
G*,G-,G-,S+, , ,S,G,28,SG-028  ,79464
G*,G-,GA,S+, , ,G,S,36,SG-036  ,87720
G*,GA,G-,S+, , ,G,S,32,SG-032  ,83592
G*,GA,GA,S+, , ,G,S,40,SG-040  ,65016
G*,GB,F-,FA, , ,G,F,12,GF-012  ,139320
G*,GB,F-,FA, , ,G,F,12,GF-012A ,140352
G*,GB,G+,FA, , ,G,F,41,GF-041  ,170280
G*,GB,GB,FA, , ,G,F,1,GF-001  ,124872
G*,SB,G*,G*, , ,G,S,26,SG-026  ,77400
G*,SB,SB,G*, , ,S,G,50,SG-050  ,75336
G+,F-,F-,F*, , ,G,F,25,GF-025  ,180600
G+,F-,F-,G+, , ,G,F,49,GF-049  ,178536
G+,F-,F-,GB, , ,G,F,49,GF-049  ,178536
G+,F-,FA,F*, , ,F,G,33,GF-033  ,188856
G+,F-,FA,G+, , ,G,F,63,GF-063  ,205368
G+,F-,FA,G+, , ,G,F,67,GF-067  ,209496
G+,F-,FA,GB, , ,G,F,53,GF-053  ,195048
G+,FA,F-,F*, , ,F,G,29,GF-029  ,184728
G+,FA,F-,G+, , ,G,F,59,GF-059  ,201240
G+,FA,F-,GB, , ,G,F,51,GF-051  ,192984
G+,FA,FA,F*, , ,F,G,37,GF-037  ,166152
G+,FA,FA,G+, , ,F,G,65,GF-065  ,207432
G+,FA,FA,GB, , ,G,F,55,GF-055  ,197112
G+,FA,G*,F-, , ,G,F,21,GF-021  ,157896
G+,FA,G*,F-, , ,G,F,21,GF-021A ,158928
G+,FA,G*,G+, , ,G,F,7,GF-007  ,131064
G+,FA,G*,GB, , ,G,F,43,GF-043  ,172344
G+,FA,G+,FA, , ,F,G,13,GF-013  ,141384
